"pond","fed_today","water_temp_c","dissolved_o2_mgl"
"P6","no",13.2,9.81
"P8","yes",27.8,5.08
"P4","no",26,7.59
"P6","yes",18.9,9.55
"P4","yes",28.6,6.67
"P7","yes",28.2,6.91
"P8","no",19.8,8.45
"P4","yes",19.6,9.58
"P3","no",28.8,8.09
"P7","no",22.5,8.98
"P1","no",25.1,8.77
"P1","no",25.7,8.45
"P5","yes",18.6,8.45
"P7","yes",17.6,10.2
"P3","no",24.6,8.74
"P1","yes",15.5,10.35
"P8","yes",17.4,10.19
"P3","no",20.7,9.42
"P5","yes",26.9,8.45
"P1","no",27.7,6.83
"P5","no",20.8,8.9
"P4","yes",13.5,10.85
"P8","no",14.3,10.27
"P3","yes",22.1,8.49
"P6","yes",18.9,8.29
"P2","no",16.6,9.88
"P7","no",19,8.45
"P6","no",12.5,11.67
"P5","yes",20.7,7.25
"P5","yes",17.8,9.07
"P7","yes",22.9,7.14
"P8","no",18,9.19
"P3","no",12.2,10.84
"P2","yes",24.2,8.45
"P5","yes",28.3,8.65
"P8","yes",14.2,10.79
"P2","yes",26,8.45
"P5","yes",13,11.39
"P1","yes",23.8,7.61
"P2","no",24.1,8.73
"P5","no",20.4,7.34
"P3","yes",24.7,6.77
"P7","yes",22.9,8.45
"P7","no",18.1,8.82
"P6","yes",22.2,8.36
"P6","yes",26.5,8.31
"P6","no",21.1,8.32
"P2","yes",19.7,8.84
"P1","no",17.6,9.93
"P4","yes",24.7,8.21
"P7","no",29.9,7.81
"P7","no",14.9,9.82
"P5","yes",25.8,6.67
"P3","yes",15.8,10.88
"P7","no",12.3,10.09
"P5","yes",25.4,8.45
"P2","no",22.2,9.3
"P1","yes",25.1,8.8
"P1","yes",12.8,10.9
"P5","yes",16.9,8.97
"P2","yes",21.8,9.28
"P7","yes",28.6,7.02
"P6","no",25.5,7.7
"P6","yes",17.2,9.18
"P6","yes",19.4,8.62
"P4","yes",17.3,10.41
"P2","no",27,8.84
"P4","no",25.1,7.01
"P1","yes",27.1,8.88
"P4","no",15.7,10.19
"P6","no",19,8.78
"P2","yes",16.3,10.03
"P8","yes",29.2,7.41
"P3","yes",25.7,8.06
"P5","no",26.2,6.75
"P7","yes",20.9,8.45
"P2","yes",24.3,8.51
