"hour","weekday","battery_v","turbidity_ntu"
113.3,"Fri",12.31,17.6
113.75,"Fri",12.05,24.99
114.37,"Fri",12.46,18.59
114.49,"Fri",12.22,22.08
114.64,"Fri",12.22,19.24
115,"Fri",12.18,24.95
115.87,"Fri",12.29,17.73
116.25,"Fri",11.88,25.03
116.39,"Fri",12.24,15.39
116.53,"Fri",12.13,22.66
117.5,"Fri",11.91,25.27
118.75,"Fri",12.07,25.09
120,"Sat",12.05,25.33
121.05,"Sat",12.02,14.04
121.25,"Sat",12.48,25.25
121.99,"Sat",12.25,17.7
122.12,"Sat",12.15,18.57
122.5,"Sat",12.14,25.22
123.75,"Sat",12.22,25.26
124.36,"Sat",12.25,21.72
124.55,"Sat",12.14,20.36
125,"Sat",12.04,25.15
125.41,"Sat",12.01,14.26
126.25,"Sat",12.28,25.11
127.37,"Sat",12.18,20.46
127.5,"Sat",11.83,25.27
127.77,"Sat",12.06,20.86
127.97,"Sat",11.94,14.71
128.38,"Sat",12.12,13.61
128.62,"Sat",12.08,17.68
128.75,"Sat",11.99,25.28
130,"Sat",12.14,25.44
130.68,"Sat",11.97,12.69
131.25,"Sat",12,25.41
132.5,"Sat",11.98,25.34
133,"Sat",12.17,15.45
133.75,"Sat",11.97,25.33
133.78,"Sat",11.92,17.46
134.37,"Sat",12.14,17.58
135,"Sat",11.84,25.17
136.25,"Sat",12.01,25.11
137.5,"Sat",12.14,24.79
138.08,"Sat",12.18,12.18
138.15,"Sat",11.88,15.34
138.75,"Sat",12.16,24.85
138.88,"Sat",11.83,14.68
138.97,"Sat",12.13,16.18
139.44,"Sat",12.02,18.44
140,"Sat",11.81,24.69
141.25,"Sat",11.97,24.39
142.5,"Sat",12.2,24.52
143.75,"Sat",12.14,24.64
144.49,"Sun",11.94,18.27
145,"Sun",12.01,24.65
145.2,"Sun",11.97,16.49
145.7,"Sun",12.12,19.96
146.25,"Sun",12,24.53
147.4,"Sun",12.04,11.24
147.5,"Sun",12.19,24.27
148.75,"Sun",11.89,24.23
150,"Sun",11.89,24
150.34,"Sun",11.98,16.34
152.42,"Sun",12.05,13.6
155.85,"Sun",11.9,20.68
155.98,"Sun",11.89,14.85
156.13,"Sun",11.89,15.19
157.16,"Sun",12.27,12.19
158.11,"Sun",11.77,13.02
158.41,"Sun",11.88,16.61
158.44,"Sun",12,13.64
158.45,"Sun",11.95,20.35
159.41,"Sun",11.91,15.31
160.72,"Sun",12.11,11.04
164.55,"Sun",11.88,8.44
165.12,"Sun",11.94,10.53
165.14,"Sun",12.11,17.4
165.28,"Sun",11.93,18.04
168.89,"Mon",12.05,17.3
169.59,"Mon",12.08,9.25
170.26,"Mon",11.84,16.79
171.17,"Mon",12,22.72
172.27,"Mon",11.79,9.47
172.31,"Mon",12.11,15.86
174.54,"Mon",12.04,18.2
176.36,"Mon",11.88,14.19
177.52,"Mon",11.8,11.04
181.23,"Mon",11.81,14.97
182.53,"Mon",11.65,10.77
182.88,"Mon",11.98,15.86
183.73,"Mon",12.09,12.04
185.51,"Mon",11.89,11.94
187.03,"Mon",11.72,15.69
187.17,"Mon",11.59,10.69
187.98,"Mon",11.9,10.6
188.76,"Mon",12.08,12.88
189.2,"Mon",11.63,15.14
189.36,"Mon",11.7,12.29
189.47,"Mon",11.66,15.88
193.8,"Tue",11.77,11.64
194.44,"Tue",11.82,16.33
195.58,"Tue",11.8,13.25
197.74,"Tue",12.17,15.8
199.83,"Tue",11.79,13.93
201.31,"Tue",11.53,15.46
203.18,"Tue",11.76,13.88
204.04,"Tue",11.73,16.51
207.3,"Tue",11.94,13.61
207.78,"Tue",11.93,17.73
208.09,"Tue",11.63,15.14
208.61,"Tue",11.65,11.17
208.96,"Tue",11.73,9.16
209.44,"Tue",11.65,12.31
209.74,"Tue",11.77,13.18
210.35,"Tue",11.59,13.27
212.54,"Tue",11.71,12.56
212.75,"Tue",11.52,16.84
214.75,"Tue",11.74,19.84
215.55,"Tue",12,13.06
216.05,"Wed",11.91,13.8
216.4,"Wed",11.38,12.68
217.57,"Wed",11.73,11.47
218.9,"Wed",11.92,17.83
219.14,"Wed",11.68,15.21
219.34,"Wed",11.82,14.42
221.4,"Wed",11.42,14.18
222.34,"Wed",11.43,15.25
222.55,"Wed",11.7,12.53
225.28,"Wed",11.62,19.92
225.91,"Wed",11.84,14.77
227.32,"Wed",11.46,10.13
229.94,"Wed",11.85,11.27
231.09,"Wed",11.72,24.16
232.33,"Wed",11.91,13.9
232.34,"Wed",11.98,17.57
232.59,"Wed",11.59,18.44
233.48,"Wed",11.82,13.58
233.86,"Wed",11.66,14.51
235.9,"Wed",11.69,21.55
236.36,"Wed",11.72,14.59
237.92,"Wed",11.92,21.07
239.12,"Wed",11.15,11.79
