"store_id","region","floor_area_sqm","weekly_margin_k"
"S8448","southeast",113.8,8.4
"S8200","west",142.7,0.88
"S6989","west",167.8,15.07
"S1095","northeast",48.6,9.25
"S6403","southeast",147.1,6.29
"S2043","northeast",206.4,10.29
"S9073","northeast",301.6,17.09
"S9720","southeast",213.8,10.96
"S2610","northeast",111.7,4.82
"S4438","central",189.3,5.66
"S3750","southeast",220.8,10.9
"S3972","west",159.3,1.45
"S2577","northeast",134.7,13.72
"S1855","west",308.3,22.26
"S2796","southeast",184.9,17.4
"S7025","west",158.7,14.99
"S1111","west",297.3,8.36
"S1800","northeast",50.3,8.57
"S9971","central",69.9,8.47
"S6790","northeast",255.4,2.99
"S3588","central",227.4,6.92
"S7690","west",181.2,7.5
"S4080","central",115.1,1.6
"S3242","northeast",306.4,24.62
"S8458","west",250,2.98
"S1338","west",192.1,4.93
"S9804","southeast",90.8,3.63
"S5912","southeast",275.7,16.31
"S8153","west",225.1,25.57
"S4553","southeast",138.3,17.45
"S8252","west",232.9,19.77
"S3571","central",271.5,13.22
"S4292","west",215,1.13
"S7789","central",113.7,4.23
"S6118","west",311.9,26.94
"S1770","west",304.6,11.49
"S9608","west",188.4,4.41
"S4261","west",218.4,3.82
"S4867","northeast",268.6,19.3
"S8394","southeast",282.3,31.25
"S1162","central",99,17.94
"S3609","northeast",186.6,12.86
"S9774","west",289.4,14.22
"S5547","southeast",58,5.32
"S4254","northeast",172.9,7.5
"S8165","northeast",301.7,19.63
"S4564","central",51,9.45
"S9571","central",108.6,5.66
"S9915","central",173,13.47
"S3021","southeast",121.2,3.13
"S4916","northeast",60.6,13.09
"S8623","central",266.6,6.69
"S8572","northeast",316.1,18.17
"S4535","southeast",126.3,12.33
"S9495","northeast",68,8.33
"S7693","northeast",284,8.65
"S1629","southeast",114.2,14.67
"S5818","west",250.6,6.01
"S5966","central",261.1,7.6
"S5083","west",114.5,7.14
"S1940","southeast",113.5,0.12
"S5048","northeast",95.9,7.22
"S5434","west",92.4,16.09
"S4344","west",197.8,5.45
"S1141","west",44.5,5.53
"S6050","southeast",281.2,11.35
"S4004","west",174.3,0.32
"S3540","west",290.8,15.98
"S9289","west",196.2,12.44
"S3985","northeast",269.7,10.3
"S8482","northeast",65.7,2.28
"S3482","southeast",238.3,15.67
"S4858","central",244.5,4.73
"S9497","central",115.4,7.26
"S9007","west",145.5,1.95
"S7208","southeast",291.2,18.06
"S8134","west",156.2,2.6
"S7818","southeast",315.7,17.55
"S7468","southeast",149.4,2.78
"S9277","southeast",133.1,12
"S8454","southeast",277.5,23.92
"S4138","central",288,7.74
"S2503","southeast",303.7,12.3
"S8770","northeast",295.3,4.3
"S8639","southeast",112,12.48
"S3387","southeast",219.1,14.76
"S7566","northeast",174,6.89
"S4764","west",86.5,4.27
"S9923","southeast",50.2,7.68
"S6186","southeast",170.6,10.95
"S8728","southeast",45.3,7.54
"S3173","west",177.1,1.68
"S6277","west",193,18.42
"S6166","northeast",191.1,3.12
"S9584","west",240,25.71
"S9299","southeast",154.8,17.16
"S9899","west",197.7,1.56
"S6005","west",143.3,2.03
"S4568","central",118.3,1.55
"S4895","central",234,10.52
"S8180","central",253.9,20.29
"S7895","northeast",216.4,14.61
"S4625","southeast",286.7,3.11
"S3309","southeast",71.1,13.83
"S6608","central",87.3,11.21
"S4826","west",285.9,7.78
"S1265","west",147.4,0.61
"S2726","central",179.6,9.79
"S5038","southeast",145.9,8.32
"S7438","southeast",300.8,16.78
"S6404","west",77,14.16
"S8697","central",47,7.02
"S2736","central",299.2,20.21
"S2380","southeast",225.3,5.13
"S4906","central",162.1,8.12
"S6244","central",313.3,0.98
"S2793","northeast",162.9,12.36
"S1477","northeast",49.4,9.1
"S9828","central",99.5,1.82
"S4026","northeast",292.2,17.33
"S8839","west",105.5,4.94
