"bay","fan_on","temperature_c","humidity_pct"
"Bay 6","yes",24.8,57.5
"Bay 4","no",28.9,50.9
"Bay 5","yes",18.6,57.9
"Bay 4","no",27.5,54.2
"Bay 6","yes",27.2,47
"Bay 1","no",30.9,43.5
"Bay 3","yes",25.6,55.1
"Bay 4","no",25.6,55.6
"Bay 4","no",28.2,45.7
"Bay 1","no",17.2,67.3
"Bay 2","no",16.6,70
"Bay 1","no",19,67.1
"Bay 5","no",32.4,36.8
"Bay 2","yes",18.2,57.9
"Bay 2","no",33.1,54.5
"Bay 4","yes",20.7,57.5
"Bay 3","yes",30,54.7
"Bay 6","yes",18.9,63.1
"Bay 2","no",20.8,68.6
"Bay 5","yes",20,59.9
"Bay 1","yes",17.9,66.7
"Bay 6","no",23.1,54.6
"Bay 2","no",19,64.3
"Bay 3","no",23.2,56.9
"Bay 2","no",19.6,65.2
"Bay 3","yes",30.4,42.2
"Bay 5","yes",32,38.8
"Bay 6","no",29.2,33.9
"Bay 4","yes",28,53.8
"Bay 6","no",24.6,56.9
"Bay 3","yes",23.8,56.6
"Bay 1","no",21.4,64.4
"Bay 4","no",33.1,41.3
"Bay 3","yes",29.8,53.8
"Bay 6","no",32.6,49.1
"Bay 1","yes",33.1,35.7
"Bay 1","no",22.3,65.1
"Bay 3","yes",18.4,73.3
"Bay 2","yes",22.5,66
"Bay 1","yes",33.1,29.5
"Bay 4","no",33.7,44.8
"Bay 4","yes",19.1,65.8
"Bay 6","yes",19.6,54.8
"Bay 1","yes",22.4,54.2
"Bay 4","yes",30.3,43.5
"Bay 3","no",25,48.2
"Bay 3","no",29.1,45.2
"Bay 3","no",20.4,58.5
"Bay 2","no",18.3,76.9
"Bay 3","no",21.3,62.5
"Bay 3","yes",18.3,57.2
"Bay 5","no",21.7,58.2
"Bay 6","no",25.5,50.1
"Bay 3","yes",27.5,44
"Bay 2","yes",22.4,69
"Bay 5","no",33.4,37.8
"Bay 4","no",29.4,42.9
"Bay 6","yes",18.4,67.4
"Bay 6","no",22.8,54.2
"Bay 6","yes",26.1,50.3
"Bay 4","no",18.9,63.9
"Bay 4","no",24.2,59.5
"Bay 2","no",26.8,58.9
"Bay 1","no",29,48.2
"Bay 6","no",27.9,49.8
"Bay 5","yes",20.7,64.6
"Bay 1","yes",20.2,71.6
"Bay 6","no",18.8,63.6
"Bay 4","yes",22,60.4
"Bay 1","yes",31.7,49
"Bay 3","yes",27.4,54.2
"Bay 1","yes",30,53.5
"Bay 6","no",27.4,48.4
"Bay 4","yes",27.2,60.9
"Bay 3","yes",27,54.2
"Bay 1","yes",27.8,45.7
"Bay 5","yes",22.7,56.7
"Bay 1","no",23.4,62.1
"Bay 4","yes",22.6,52.4
"Bay 1","yes",24.2,54.7
"Bay 1","yes",30.7,48
"Bay 5","yes",22.4,54.4
"Bay 3","no",33.6,39.1
"Bay 1","no",33.5,37.4
"Bay 3","no",25.4,58.1
"Bay 3","yes",18.9,59.3
"Bay 6","yes",27.8,42.3
"Bay 4","yes",30.8,45.8
"Bay 6","yes",23.8,59.3
"Bay 1","no",33.9,42.4
"Bay 1","no",19.1,68.1
"Bay 5","yes",30.9,41.2
"Bay 4","no",18.7,68
"Bay 4","no",18.8,67.2
"Bay 6","no",30.6,51.7
"Bay 4","yes",31.4,40.2
"Bay 6","yes",31.3,32
"Bay 3","no",22.4,54.2
"Bay 6","yes",30.2,49.4
"Bay 4","yes",19.8,62.3
"Bay 4","yes",30.6,53.7
"Bay 6","no",20,70.5
"Bay 5","no",27.6,50.7
"Bay 6","no",19.8,62.1
"Bay 4","yes",27.7,54.2
"Bay 3","no",28.3,37
"Bay 5","yes",19.5,72.5
"Bay 4","yes",32.1,44.6
"Bay 6","no",21.9,53.2
"Bay 1","yes",20,63.5
"Bay 3","yes",21.8,51.6
