"block","variety","soil_ph","tree_age_yrs","yield_kg"
"B5","braeburn",7.2,9.9,33.7
"B5","fuji",5.7,24.1,77.7
"B4","fuji",7.2,38.7,101.2
"B7","honeycrisp",6.7,17.5,83.4
"B6","gala",7.1,39.9,78.9
"B8","gala",6.1,25.5,58.1
"B7","honeycrisp",5.7,18,70.2
"B3","gala",6,18,80.6
"B6","gala",6.7,25.5,66.7
"B5","braeburn",6.3,5.7,12.7
"B4","honeycrisp",7.2,29.7,73.3
"B3","fuji",6.6,14.4,75
"B4","fuji",6.3,18.2,73.6
"B3","braeburn",6,34.6,83.4
"B1","honeycrisp",6.3,17.2,87.6
"B3","honeycrisp",6.7,28.3,97.1
"B7","gala",5.6,18.4,62.8
"B8","gala",6.5,23.6,67.7
"B5","honeycrisp",5.4,12.7,113.7
"B1","honeycrisp",7,16.3,108.4
"B5","gala",6.4,27,91.1
"B1","gala",6.6,14.9,114.1
"B5","gala",5.4,31.4,79.9
"B5","gala",6.3,10.4,58
"B8","honeycrisp",6.4,8.6,107.6
"B6","fuji",7.3,34.7,92.6
"B5","braeburn",6.6,14.6,69.4
"B3","gala",6.3,37.1,86.5
"B1","honeycrisp",6,4.9,36.6
"B3","honeycrisp",6.6,34.8,77.7
"B7","gala",6,2.8,15.6
"B6","gala",7.1,33.3,85.8
"B5","gala",5.9,33,94.6
"B5","fuji",6.9,8.6,54.5
"B3","honeycrisp",6.3,17.5,99.6
"B7","braeburn",6.8,32.2,68.4
"B8","gala",5.8,12.2,48.5
"B5","braeburn",7,3.1,26.8
"B3","honeycrisp",5.4,24.2,75.3
"B7","gala",6.6,18.3,101.5
"B2","honeycrisp",7.2,17.2,107.8
"B2","honeycrisp",7.1,5.1,26.2
"B8","honeycrisp",5.6,33.8,98.1
"B7","honeycrisp",6.4,14.4,50.1
"B3","gala",6.2,16.1,85
"B2","gala",6.6,18.3,72.3
"B2","braeburn",6,25.7,69
"B2","gala",5.5,17.2,57.2
"B5","fuji",5.7,11.3,56.8
"B6","braeburn",5.8,33.5,78.1
"B8","fuji",5.9,13.5,49.2
"B8","braeburn",6.3,14.4,54.2
"B2","fuji",7.1,14.2,60.6
"B1","braeburn",6.1,11.1,56.9
"B2","gala",6.8,33.3,80.3
"B8","gala",6.7,33.1,101.1
"B3","honeycrisp",5.9,24.1,88.2
"B5","honeycrisp",5.5,32.6,106.5
"B5","honeycrisp",5.4,15.5,108.3
"B4","honeycrisp",5.7,38.6,87.1
"B8","gala",7.2,14.1,90.4
"B2","gala",5.6,12.2,61.7
"B5","fuji",6.7,17.9,68.1
"B7","gala",6.6,32.7,88.6
"B2","honeycrisp",6.9,38.7,86.4
"B8","honeycrisp",7,17.4,63.3
"B4","honeycrisp",5.6,12.7,111.3
"B8","braeburn",5.8,38.5,78.3
"B4","honeycrisp",7.1,31.5,88.8
"B1","fuji",6.7,38.8,84.4
"B3","gala",5.7,9.2,46.6
"B4","braeburn",6.5,26.4,94
"B3","honeycrisp",5.7,10.7,107
"B7","braeburn",5.7,17.2,78
"B3","gala",7.3,5.9,44.6
"B1","honeycrisp",6,19.2,85.4
"B5","honeycrisp",6.3,20.4,68
"B6","gala",6,35.2,83.3
"B6","fuji",5.7,16.3,65.9
"B4","gala",5.4,8.2,34.9
"B1","gala",6.4,10.8,90.8
"B2","honeycrisp",7,12.4,85.4
"B4","honeycrisp",7,10,101.6
"B2","gala",5.5,14.6,117.2
"B7","fuji",7.2,38.9,107.9
"B4","fuji",7.1,7.2,40.6
"B7","braeburn",5.4,13.2,32.2
"B1","fuji",6.6,28.6,84.1
"B2","braeburn",6.8,36.4,90.6
"B4","gala",6.1,9.7,49.9
"B6","fuji",6.7,31.4,89.6
"B6","honeycrisp",5.4,26.7,65.9
"B4","fuji",5.9,18.7,52
"B5","fuji",6.9,31.5,71.3
"B7","braeburn",5.5,29.1,76.3
"B4","gala",6.2,39.7,89.6
"B8","honeycrisp",7.1,20.4,61.9
"B3","honeycrisp",6.3,17.2,82.4
"B4","braeburn",5.6,31,104.3
"B1","fuji",5.6,26.5,80.4
"B5","fuji",5.6,9.5,54.9
"B4","braeburn",6.4,11.3,55.2
"B1","gala",7.2,2.9,32
"B3","fuji",6.2,17.4,61.2
"B8","fuji",5.8,20.9,81.8
"B4","fuji",6,28.1,77.8
"B2","fuji",6.7,10.6,55
"B3","braeburn",6.1,36.9,93.8
"B5","braeburn",6.9,8.4,46
"B8","fuji",6.3,39.4,85.2
"B3","fuji",7,32.7,96.8
"B8","honeycrisp",5.8,6,49.5
"B5","honeycrisp",5.9,17,93.6
"B3","honeycrisp",5.9,6.3,33.4
"B4","honeycrisp",6.4,34.9,92.2
"B1","gala",7,32.8,99.5
"B5","honeycrisp",6.9,18.9,102.7
"B2","braeburn",6.8,24.3,70
"B3","honeycrisp",6.7,19.6,106.2
"B6","fuji",5.6,10.6,38.9
"B4","honeycrisp",6.5,31.2,81.2
"B8","honeycrisp",6.5,9.2,102.6
"B4","gala",6,6.9,21.2
"B4","braeburn",5.7,6.9,46
"B8","honeycrisp",7.1,4.5,34.6
"B4","gala",7,11.5,84.3
