"claim_type","region","claimant_income_k","claim_amount_k"
"home","north",28.37,1.49
"auto","south",47.81,1.95
"auto","north",86.6,2.56
"home","north",84.04,2.17
"home","south",111.03,2.68
"home","north",39.41,0.29
"auto","south",77.01,1.61
"auto","coastal",123.47,1.48
"home","north",77.31,1.31
"auto","coastal",79.05,0.92
"umbrella","north",107.66,2.1
"home","south",66.65,1.29
"home","north",81.37,2.21
"home","south",85.12,1.77
"home","north",42.38,1.75
"umbrella","south",63.58,2.95
"home","north",54.75,0.97
"home","south",69.05,1.02
"auto","south",43.31,0.76
"home","south",103.32,2.09
"home","north",42.38,1.55
"home","coastal",92.72,1.72
"auto","south",34.46,1.28
"home","coastal",104.64,3.03
"auto","south",39.87,2.49
"auto","south",60.22,1.71
"home","south",124.69,1.84
"auto","north",54.75,1.38
"home","north",101.35,2.45
"home","south",123.4,2.19
"auto","north",106.13,2.31
"auto","coastal",55.23,1.1
"auto","south",132.24,1.42
"home","north",137.59,3.34
"auto","south",61.15,1.84
"home","coastal",57.69,2
"auto","south",43.31,1.53
"auto","north",54.75,1.61
"home","north",35.4,0.84
"auto","coastal",49.4,1.15
"home","north",42.38,1.53
"home","north",113.34,2.26
"umbrella","north",139.55,2.25
"umbrella","south",43.31,1.63
"home","south",62.02,1.27
"home","north",131.23,2.04
"auto","north",54.75,1.78
"home","north",64.62,1.98
"umbrella","south",43.31,1.33
"auto","south",127,1.47
"auto","south",43.31,1.7
"auto","south",76.42,1.35
"auto","south",86.39,1.78
"auto","south",94.45,2.19
"auto","south",77.09,1.92
"home","south",94.45,2.08
"auto","south",94.45,2.57
"home","south",72.26,2.79
"home","south",94.45,1.36
"umbrella","south",72.26,2.3
"umbrella","north",45.88,0.87
"auto","coastal",39.05,1.52
"auto","north",130.16,2.32
"auto","south",127,2.22
"auto","south",102.67,2.16
"home","north",138.23,2.99
"home","south",72.26,0.89
"home","south",51.69,1.02
"auto","south",97.61,1.48
"auto","north",98.24,0.82
"umbrella","south",43.31,0.9
"auto","coastal",86.59,1.99
"home","south",72.26,0.64
"auto","south",132.73,3.15
"home","north",137.1,2.97
"auto","coastal",109.86,2.58
"auto","coastal",54.77,1.09
"home","north",105.89,1.69
"auto","coastal",127.47,1.93
"umbrella","north",54.75,1.07
"home","coastal",36.75,1.25
"home","north",93.66,0.51
"auto","south",94.45,1.24
"home","north",40.73,1.64
"home","coastal",40.49,3.07
"home","south",34.86,1.13
"home","coastal",103.21,1.66
"home","south",72.26,2.19
"auto","north",91.63,2.19
"umbrella","south",111.74,2.11
"home","coastal",80.28,1.86
"umbrella","north",116.38,2.19
"home","coastal",44.16,1.98
"home","south",45.2,1.57
"home","south",72.26,2.88
"home","coastal",66.97,1.44
"auto","coastal",73.02,1.18
"home","south",127,2.09
"home","south",72.26,1.93
"home","south",43.31,1.16
"auto","south",93.48,1.99
"auto","north",130.05,2.23
"auto","north",65.87,2.63
"home","south",86.2,2.58
"home","coastal",104.71,2.13
"auto","north",56.25,1.12
"umbrella","north",42.38,0.95
"umbrella","south",127,2.28
"auto","south",72.57,2.01
"auto","south",58.27,2.27
"auto","south",125.15,2.41
"auto","north",117.29,3.3
"umbrella","south",56.33,1.44
"auto","south",43.31,1.65
"auto","south",67.53,1.64
"home","north",116.11,1.73
"auto","south",127,1.86
"umbrella","south",72.26,1.43
"auto","coastal",84.92,1.72
"auto","south",94.45,1.88
"auto","north",44.73,1.67
"auto","south",82.77,1.32
"auto","north",68.76,1.84
"home","north",39.99,1
"home","north",102.31,1.92
"home","coastal",62.28,1.05
"umbrella","south",94.45,1.53
"auto","north",78.23,0.49
"home","south",42.85,0.2
"auto","north",55.94,2.08
"home","north",103.77,2.17
"home","north",42.38,0.94
"auto","south",53.61,1.49
"home","north",74.84,1.4
"auto","north",42.38,2.11
"auto","north",128.17,0.79
"umbrella","north",42.38,1.3
"auto","south",94.45,2.47
"auto","south",109.49,2.51
"auto","coastal",54.36,1.39
"auto","south",72.26,1.42
"auto","north",126.04,2.55
"auto","south",43.31,1.3
"home","coastal",125.09,1.55
"home","south",103.06,1.98
