"customer_id","plan","signup_year","tenure_months","monthly_spend"
"C22433","basic",2023,10.8,70.29
"C80569","basic",2025,21.1,67.53
"C18861","standard",2022,45.7,60.65
"C18265","standard",2020,61.8,56.21
"C21040","standard",2019,54.4,87.06
"C68257","premium",2021,16.3,56.97
"C77304","standard",2025,47.6,71.92
"C66572","standard",2019,11.8,35.98
"C10110","standard",2024,36.3,51.61
"C85429","basic",2023,38,45.45
"C41993","basic",2024,25.9,60.89
"C45458","basic",2020,22.7,56.36
"C55430","premium",2022,39.3,77.38
"C54886","premium",2022,8.4,31.91
"C41503","basic",2020,4.6,45.81
"C57152","standard",2025,37.5,19.72
"C12578","standard",2025,31.7,41.72
"C24743","premium",2023,40.6,63.38
"C63448","basic",2024,41.5,57.59
"C17855","basic",2025,46.9,88.56
"C10406","premium",2022,54.9,49.25
"C61129","basic",2020,64.4,70.68
"C12630","standard",2023,20,61.21
"C63051","standard",2021,37,45.21
"C68186","standard",2025,8.8,25.08
"C17484","standard",2019,32.8,47.95
"C98717","standard",2019,67.8,50.15
"C87903","basic",2025,36.7,40.1
"C59583","standard",2024,10.5,55.57
"C47754","standard",2021,51.3,48.03
"C66616","basic",2021,23.4,32.95
"C40816","basic",2019,25.6,46.78
"C83772","basic",2019,58.3,66.45
"C24913","premium",2023,30.2,88.24
"C99353","standard",2021,50.8,44.31
"C52657","premium",2020,18.8,37.61
"C66442","standard",2020,70.5,64.57
"C33227","standard",2024,3.7,67.38
"C65220","basic",2020,28.5,70.19
"C99701","basic",2019,71.1,44.69
"C52368","standard",2023,34.9,46.44
"C79533","premium",2022,22.4,56.26
"C42477","basic",2023,8.4,13.2
"C24607","premium",2025,63.1,60.66
"C19817","premium",2020,69.2,46.49
"C65731","standard",2025,30,90.37
"C67284","premium",2023,37.9,70.61
"C22690","premium",2024,48.7,56.36
"C89430","standard",2025,69.5,73.77
"C19224","standard",2021,25.6,37.69
"C97034","basic",2020,4.5,54.84
"C83374","basic",2019,51.9,37.77
"C86451","standard",2024,63.6,82.58
"C34253","standard",2025,52.2,61.94
"C28835","standard",2025,20.8,44.61
"C78089","standard",2024,5.9,36.93
"C56952","standard",2021,22.7,44.29
"C11212","standard",2020,71.5,88.17
"C98974","basic",2024,30,56.44
"C50454","basic",2022,43.4,47.73
"C19443","standard",2025,24.2,54.58
"C91861","standard",2020,46.5,90.74
"C70357","basic",2022,27.8,54.87
"C72713","basic",2024,43.8,50.15
"C39132","standard",2025,38,45.7
"C50906","basic",2020,28.4,52.79
"C45462","standard",2023,28.3,15.63
"C28547","premium",2025,57.5,84.93
"C56616","standard",2021,47.6,54.72
"C67972","basic",2019,50.8,54.47
"C67632","standard",2021,19.1,19.54
"C92621","basic",2025,12,57.13
"C34535","basic",2025,54.6,81.85
"C84946","basic",2025,18,33.43
"C98273","standard",2022,43.6,63.65
"C37014","premium",2024,14.8,55.16
"C28352","basic",2021,24.2,43.9
"C71106","basic",2024,70.4,95.28
"C96028","premium",2020,17.6,56.92
"C60351","basic",2022,27.9,42.62
"C67322","premium",2019,43.1,89.23
"C72204","premium",2025,14.6,40.51
"C80923","standard",2019,54.4,79.42
"C55703","basic",2019,29.1,76.56
"C38454","basic",2019,11.2,28.53
"C35065","basic",2020,35.1,47.23
"C78965","standard",2024,8,71.21
"C10254","standard",2021,71.4,78.37
"C33046","basic",2022,60.6,84.75
"C17727","standard",2020,49.6,60.89
"C47974","basic",2019,33.9,55.72
"C67651","basic",2022,39.5,46.25
"C54918","standard",2020,42.7,78.12
"C96313","standard",2022,6.9,66.5
"C27410","premium",2021,46.4,86.09
"C40286","basic",2020,61,106.96
"C16439","basic",2025,45.6,63.41
"C23413","standard",2024,59.4,46.45
"C44530","standard",2022,53.2,61.75
"C84998","standard",2022,31.5,33.21
"C58976","standard",2019,33.3,47.68
"C60919","standard",2022,63.7,105.15
"C44214","standard",2020,52,64.05
"C30289","standard",2023,11.5,71.94
"C58082","premium",2022,30.6,50.09
"C12180","basic",2023,61.1,56.12
"C20884","standard",2022,14.8,72.27
"C83146","premium",2025,5.8,66.57
"C83860","premium",2019,25,55.97
"C40191","basic",2020,2.4,7.62
"C87131","standard",2025,17.3,49.4
"C47835","basic",2020,10.3,22.24
"C75793","basic",2024,27.6,55.2
"C86378","standard",2024,8.4,29.74
"C63109","standard",2019,23.4,26.16
"C69227","basic",2025,42.1,35.28
