"claim_id","product","purchase_date","claim_amount"
"C855373","dryer",2021-02-26,167.68
"C707561","range",2021-11-11,191.36
"C844746","dryer",2022-07-01,174.35
"C976754","range",2025-01-28,365.79
"C252068","dryer",2023-08-25,164.73
"C190177","fridge",2021-03-06,136.47
"C862954","washer",2023-02-09,182.76
"C981662","dryer",2024-09-20,311.68
"C817721","washer",2030-01-01,416.74
"C147916","fridge",2024-04-10,289.81
"C117357","range",2024-12-02,373.81
"C473829","range",2030-01-01,287.39
"C259235","fridge",2021-05-17,153.9
"C369376","washer",2024-11-08,319.56
"C735870","washer",2024-07-13,228.11
"C291078","dryer",2022-06-13,176.12
"C401432","fridge",2022-07-19,162.67
"C538904","washer",2021-03-24,120.71
"C781082","range",2022-05-25,106.8
"C924955","washer",2030-01-01,382.19
"C296174","dryer",2022-03-28,185.7
"C836616","fridge",2021-07-28,210.35
"C251750","range",2024-08-11,238.6
"C267081","dryer",2023-11-17,156.58
"C707093","washer",2024-08-05,427.5
"C125300","range",2024-12-25,332.21
"C801893","washer",2023-04-24,187.74
"C848655","dryer",2022-04-23,158.73
"C765335","washer",2022-06-20,209.54
"C413321","washer",2023-11-28,242.6
"C400469","washer",2023-03-05,335
"C788037","range",2021-05-23,131.35
"C186037","fridge",2023-10-17,211.76
"C502410","fridge",2024-03-02,271.1
"C199712","dryer",2021-08-18,162.1
"C367556","washer",2024-01-30,249.17
"C484301","range",2023-01-22,159.87
"C902359","range",2024-03-03,262.1
"C578782","dryer",2024-12-02,331.6
"C287522","washer",2021-05-19,219.78
"C996074","washer",2023-09-26,200.89
"C485281","dryer",2021-07-18,151.71
"C276428","washer",2024-05-06,338.07
"C426769","range",2024-10-23,275.59
"C175250","washer",2023-05-04,198.26
"C956592","dryer",2024-03-22,267.98
"C313445","washer",2021-04-24,167.06
"C248395","dryer",2023-07-04,206.64
"C852512","dryer",2024-12-23,346.44
"C739381","washer",2023-08-06,117.02
"C781751","range",2021-01-16,62.55
"C471054","fridge",2024-08-18,305.09
"C222293","dryer",2023-09-02,173.87
"C513789","range",2021-04-10,182.42
"C776491","dryer",2021-12-06,194.1
"C815114","dryer",2022-06-02,172.78
"C865663","dryer",2021-07-13,107.21
"C168425","range",2023-05-04,195.84
"C221809","dryer",2022-02-02,142.14
"C638379","fridge",2021-06-10,191.03
"C710320","range",2023-03-22,178.83
"C493952","fridge",2023-09-23,177.38
"C113484","dryer",2030-01-01,410.99
