"region","plan_tier","applicant_age","monthly_premium"
"rural","bronze",20,128.64
"metro","bronze",64,245.03
"suburban","silver",18,90.05
"metro","silver",74,257.78
"suburban","silver",57,212.33
"metro","silver",20,129.34
"metro","silver",37,227.58
"suburban","gold",65,282.2
"rural","gold",23,150.09
"metro","gold",27,191.75
"rural","bronze",32,177.39
"metro","gold",33,173.48
"rural","bronze",72,281.43
"suburban","silver",68,247.26
"suburban","bronze",35,171.51
"metro","gold",20,137.61
"suburban","silver",54,150.73
"rural","bronze",68,255.37
"rural","bronze",56,224.19
"suburban","silver",65,224.14
"rural","silver",24,147.34
"metro","bronze",73,288.15
"suburban","bronze",64,241.38
"suburban","gold",36,219.26
"rural","gold",34,186.73
"rural","gold",62,237.27
"suburban","silver",20,133.68
"metro","bronze",62,257.96
"rural","bronze",33,194.16
"suburban","gold",35,139.2
"rural","silver",40,178.98
"metro","silver",67,270.63
"rural","silver",57,269.49
"suburban","gold",22,120.19
"suburban","silver",68,218.79
"rural","silver",58,282.85
"rural","gold",73,346.92
"metro","silver",61,238.15
"rural","bronze",20,142.64
"rural","silver",30,125.03
"suburban","silver",53,191.52
"metro","gold",59,206.05
"metro","bronze",65,318.4
"rural","silver",18,195.12
"suburban","bronze",60,262.19
"metro","silver",27,189.42
"metro","silver",60,247.9
"rural","silver",63,263.14
"suburban","gold",55,250.72
"metro","gold",66,264.2
"suburban","silver",68,257.78
"rural","bronze",47,181.39
"suburban","silver",64,225.4
"suburban","silver",52,175.54
"metro","bronze",41,162.77
"metro","silver",60,221.06
"metro","silver",37,200.27
"metro","silver",35,184.66
"rural","silver",70,249.88
"rural","bronze",36,129.54
"metro","silver",74,224.67
"metro","bronze",29,137.63
"suburban","silver",34,195.33
"metro","silver",36,176.6
"suburban","silver",71,316.31
"metro","bronze",20,121.66
"rural","gold",36,169.14
"suburban","bronze",33,204.74
"metro","bronze",20,141.36
"metro","bronze",25,165.25
"rural","silver",62,227.93
"suburban","bronze",73,294.77
"rural","bronze",24,177.84
"metro","gold",52,220.69
"rural","gold",57,220.97
"rural","gold",31,168.26
"rural","bronze",52,245.59
"metro","bronze",30,162.71
"rural","silver",57,240
"rural","bronze",70,291.6
"suburban","bronze",32,155.22
"metro","silver",32,154.8
"rural","silver",33,171.34
"metro","silver",52,211.75
"suburban","silver",40,178.46
"metro","bronze",32,218.03
"suburban","bronze",71,293.08
"suburban","gold",37,207.06
"rural","bronze",55,226.04
"rural","gold",55,192.51
"rural","bronze",33,186.31
"suburban","gold",71,291.72
"metro","gold",68,269.61
"suburban","gold",26,162.1
"metro","bronze",33,140.87
"metro","silver",28,157.84
"metro","bronze",26,136.32
"suburban","silver",57,259.99
"rural","bronze",29,135.86
"metro","silver",35,209.37
"metro","bronze",59,228.11
"metro","silver",33,203.74
"metro","bronze",34,194
"metro","bronze",29,144.08
"rural","silver",21,157.53
"rural","gold",73,268.02
