"sales_date","outlet","transactions","daily_sales_usd"
2025-09-16,"Maple St",76,2804.32
2025-09-16,"Riverside",117,3865.38
2025-09-16,"Hilltop",130,4774.67
2025-09-16,"Old Town",115,3812.73
2025-09-16,"Eastgate",103,3253.23
2025-09-16,"Crestview",114,4823.94
2025-09-16,"Parkway",153,4088.13
2025-09-16,"Lakeview",132,3337.68
2025-09-17,"Maple St",86,2054.93
2025-09-17,"Riverside",121,3515.18
2025-09-17,"Hilltop",131,5444.37
2025-09-17,"Old Town",127,4498.38
2025-09-17,"Eastgate",111,2555.56
2025-09-17,"Crestview",108,3337.68
2025-09-17,"Parkway",141,3396.71
2025-09-17,"Lakeview",131,3722.13
2025-09-18,"Maple St",80,2016.41
2025-09-18,"Riverside",102,3222.74
2025-09-18,"Hilltop",135,4017.2
2025-09-18,"Old Town",117,3910.1
2025-09-18,"Eastgate",113,3410.12
2025-09-18,"Crestview",106,3722.13
2025-09-18,"Parkway",130,5073.53
2025-09-18,"Lakeview",133,3317.09
2025-09-19,"Maple St",96,2469.68
2025-09-19,"Riverside",115,2869.06
2025-09-19,"Hilltop",131,2523.12
2025-09-19,"Old Town",114,3262.81
2025-09-19,"Eastgate",111,2590.63
2025-09-19,"Crestview",99,3317.09
2025-09-19,"Parkway",128,2814.66
2025-09-19,"Lakeview",121,4870.24
2025-09-20,"Maple St",86,2843.89
2025-09-20,"Riverside",111,2673.38
2025-09-20,"Hilltop",132,4680.09
2025-09-20,"Old Town",99,4737.8
2025-09-20,"Eastgate",116,3956.56
2025-09-20,"Crestview",122,4870.24
2025-09-20,"Parkway",129,4699.01
2025-09-20,"Lakeview",109,3826.95
2025-09-21,"Maple St",90,2739.28
2025-09-21,"Riverside",130,3694.71
2025-09-21,"Hilltop",115,3717.62
2025-09-21,"Old Town",110,4053.92
2025-09-21,"Eastgate",94,3345.6
2025-09-21,"Crestview",97,3826.95
2025-09-21,"Parkway",129,4936.98
2025-09-21,"Lakeview",138,3806.15
2025-09-22,"Maple St",73,2216.01
2025-09-22,"Riverside",114,4623.9
2025-09-22,"Hilltop",139,3910.43
2025-09-22,"Old Town",117,4603.4
2025-09-22,"Eastgate",89,3211.85
2025-09-22,"Crestview",121,3806.15
2025-09-22,"Parkway",148,4415.24
2025-09-22,"Lakeview",129,3812.79
2025-09-23,"Maple St",85,2773.1
2025-09-23,"Riverside",129,4749.17
2025-09-23,"Hilltop",149,4631.45
2025-09-23,"Old Town",123,3933.78
2025-09-23,"Eastgate",121,2572.29
2025-09-23,"Crestview",104,3812.79
2025-09-23,"Parkway",167,4458.37
2025-09-23,"Lakeview",109,3396.39
2025-09-24,"Maple St",83,2345.99
2025-09-24,"Riverside",114,4221.59
2025-09-24,"Hilltop",139,2966.72
2025-09-24,"Old Town",121,2408.79
2025-09-24,"Eastgate",82,2745.47
2025-09-24,"Crestview",113,3396.39
2025-09-24,"Parkway",159,5722.46
2025-09-24,"Lakeview",131,3906.72
2025-09-25,"Maple St",86,2335.89
2025-09-25,"Riverside",125,3731.07
2025-09-25,"Hilltop",138,3037.86
2025-09-25,"Old Town",100,4353.7
2025-09-25,"Eastgate",81,3645.15
2025-09-25,"Crestview",114,3906.72
2025-09-25,"Parkway",136,4536.55
2025-09-25,"Lakeview",121,4719.51
2025-09-26,"Maple St",84,2448.1
2025-09-26,"Riverside",116,3715.73
2025-09-26,"Hilltop",135,4255.69
2025-09-26,"Old Town",106,3668.8
2025-09-26,"Eastgate",99,2112.81
2025-09-26,"Crestview",102,4719.51
2025-09-26,"Parkway",125,3716.58
2025-09-26,"Lakeview",127,4144.11
2025-09-27,"Maple St",84,3028.39
2025-09-27,"Riverside",112,3475.07
2025-09-27,"Hilltop",118,4628.05
2025-09-27,"Old Town",135,3406.79
2025-09-27,"Eastgate",85,2545.8
2025-09-27,"Crestview",114,4144.11
2025-09-27,"Parkway",149,3927.14
2025-09-27,"Lakeview",119,4030.96
2025-09-28,"Maple St",87,2693.33
2025-09-28,"Riverside",121,2941.99
2025-09-28,"Hilltop",125,4722.53
2025-09-28,"Old Town",121,3156.54
2025-09-28,"Eastgate",102,2060.97
2025-09-28,"Crestview",122,4030.96
2025-09-28,"Parkway",132,3241.25
2025-09-28,"Lakeview",129,3427.24
2025-09-29,"Maple St",95,2708.32
2025-09-29,"Riverside",114,3248.5
2025-09-29,"Hilltop",149,2951.75
2025-09-29,"Old Town",116,2729.02
2025-09-29,"Eastgate",98,2593.88
2025-09-29,"Crestview",97,3427.24
2025-09-29,"Parkway",126,3830.99
2025-09-29,"Lakeview",113,3866.45
2025-09-30,"Maple St",73,3995.37
2025-09-30,"Riverside",120,3666.79
2025-09-30,"Hilltop",123,3079.91
2025-09-30,"Old Town",108,4985.32
2025-09-30,"Eastgate",95,3790.81
2025-09-30,"Crestview",134,3866.45
2025-09-30,"Parkway",137,4703.13
2025-09-30,"Lakeview",113,3454.31
2025-10-01,"Maple St",93,2329.45
2025-10-01,"Riverside",136,3373.59
2025-10-01,"Hilltop",131,4287.86
2025-10-01,"Old Town",117,3485.15
2025-10-01,"Eastgate",103,2840.11
2025-10-01,"Crestview",112,3454.31
2025-10-01,"Parkway",146,4454.01
2025-10-01,"Lakeview",144,3197.1
2025-10-02,"Maple St",89,2781.61
2025-10-02,"Riverside",133,3510.52
2025-10-02,"Hilltop",139,4486.42
2025-10-02,"Old Town",102,3451.2
2025-10-02,"Eastgate",97,2628.44
2025-10-02,"Crestview",93,3197.1
2025-10-02,"Parkway",129,4560.57
2025-10-02,"Lakeview",129,3823.88
2025-10-03,"Maple St",86,3416.84
2025-10-03,"Riverside",113,3289.36
2025-10-03,"Hilltop",140,4532.7
2025-10-03,"Old Town",121,3576.2
2025-10-03,"Eastgate",99,2846.31
2025-10-03,"Crestview",100,3823.88
2025-10-03,"Parkway",120,4718.36
2025-10-03,"Lakeview",132,4214.05
2025-10-04,"Maple St",70,2580.63
2025-10-04,"Riverside",108,3184.62
2025-10-04,"Hilltop",127,3629.54
2025-10-04,"Old Town",113,3275.73
2025-10-04,"Eastgate",101,3014.53
2025-10-04,"Crestview",99,4214.05
2025-10-04,"Parkway",131,4447.75
2025-10-04,"Lakeview",113,3266.34
2025-10-05,"Maple St",85,2910.56
2025-10-05,"Riverside",106,3956.82
2025-10-05,"Hilltop",132,3487.27
2025-10-05,"Old Town",124,3259.66
2025-10-05,"Eastgate",107,2409.03
2025-10-05,"Crestview",111,3266.34
2025-10-05,"Parkway",126,2996.31
2025-10-05,"Lakeview",129,4345.8
2025-10-06,"Maple St",83,2895.34
2025-10-06,"Riverside",115,2926.21
2025-10-06,"Hilltop",134,4422.47
2025-10-06,"Old Town",120,3778.01
2025-10-06,"Eastgate",92,2608.17
2025-10-06,"Crestview",107,4345.8
2025-10-06,"Parkway",124,3510.66
2025-10-06,"Lakeview",126,3309.04
2025-10-07,"Maple St",86,2415.29
2025-10-07,"Riverside",103,2288.08
2025-10-07,"Hilltop",125,4227.18
2025-10-07,"Old Town",119,3217.64
2025-10-07,"Eastgate",99,3458.96
2025-10-07,"Crestview",109,3309.04
2025-10-07,"Parkway",144,4031.92
2025-10-07,"Lakeview",159,4675.37
2025-10-08,"Maple St",73,2328.57
2025-10-08,"Riverside",136,3111.83
2025-10-08,"Hilltop",122,4363.68
2025-10-08,"Old Town",127,3641.24
2025-10-08,"Eastgate",100,2743.43
2025-10-08,"Crestview",98,4675.37
2025-10-08,"Parkway",142,3567.33
2025-10-08,"Lakeview",122,2783.7
2025-10-09,"Maple St",76,2656.2
2025-10-09,"Riverside",118,3576.11
2025-10-09,"Hilltop",115,4049.84
2025-10-09,"Old Town",138,4048.63
2025-10-09,"Eastgate",105,3374.3
2025-10-09,"Crestview",114,2783.7
2025-10-09,"Parkway",139,6132.37
2025-10-09,"Lakeview",118,4038.94
2025-10-10,"Maple St",83,2568.74
2025-10-10,"Riverside",126,2693.6
2025-10-10,"Hilltop",117,4056.48
2025-10-10,"Old Town",107,3785.21
2025-10-10,"Eastgate",113,2281.32
2025-10-10,"Crestview",126,4038.94
2025-10-10,"Parkway",133,4605.89
2025-10-10,"Lakeview",132,4282.24
2025-10-11,"Maple St",96,2729.47
2025-10-11,"Riverside",111,2738.35
2025-10-11,"Hilltop",128,2726.43
2025-10-11,"Old Town",111,3301.88
2025-10-11,"Eastgate",103,3850
2025-10-11,"Crestview",105,4282.24
2025-10-11,"Parkway",139,3866.69
2025-10-11,"Lakeview",113,4091.2
2025-10-12,"Maple St",85,1899.51
2025-10-12,"Riverside",113,4372.12
2025-10-12,"Hilltop",116,4106.31
2025-10-12,"Old Town",120,3984.25
2025-10-12,"Eastgate",112,3553.77
2025-10-12,"Crestview",100,4091.2
2025-10-12,"Parkway",120,3567.2
2025-10-12,"Lakeview",134,3893.46
2025-10-13,"Maple St",95,2249.59
2025-10-13,"Riverside",115,2611.39
2025-10-13,"Hilltop",146,3355.97
2025-10-13,"Old Town",104,3267.59
2025-10-13,"Eastgate",96,3650.84
2025-10-13,"Crestview",115,3893.46
2025-10-13,"Parkway",120,4257.55
2025-10-13,"Lakeview",140,3174.47
2025-10-14,"Maple St",82,2624.24
2025-10-14,"Riverside",110,4475.65
2025-10-14,"Hilltop",108,3909.8
2025-10-14,"Old Town",111,3777.59
2025-10-14,"Eastgate",86,3029.5
2025-10-14,"Crestview",104,3174.47
2025-10-14,"Parkway",129,5468.22
2025-10-14,"Lakeview",118,4186.68
2025-10-15,"Maple St",91,2322.83
2025-10-15,"Riverside",107,3579.15
2025-10-15,"Hilltop",121,3838.39
2025-10-15,"Old Town",123,3648.77
2025-10-15,"Eastgate",98,3364.07
2025-10-15,"Crestview",103,4186.68
2025-10-15,"Parkway",125,3699.19
2025-10-15,"Lakeview",106,4146.15
2025-10-16,"Maple St",77,3402.31
2025-10-16,"Riverside",128,2936.51
2025-10-16,"Hilltop",145,3914.02
2025-10-16,"Old Town",121,3944.89
2025-10-16,"Eastgate",109,3301.25
2025-10-16,"Crestview",110,4146.15
2025-10-16,"Parkway",143,3754.95
2025-10-16,"Lakeview",127,3460.33
2025-10-17,"Maple St",94,2560.17
2025-10-17,"Riverside",105,3524.5
2025-10-17,"Hilltop",130,4504.59
2025-10-17,"Old Town",124,2588.39
2025-10-17,"Eastgate",119,2522.88
2025-10-17,"Crestview",93,3460.33
2025-10-17,"Parkway",129,3292.2
2025-10-17,"Lakeview",141,3604.92
2025-10-18,"Maple St",76,2283.89
2025-10-18,"Riverside",111,3633.14
2025-10-18,"Hilltop",123,3851.13
2025-10-18,"Old Town",109,4273.29
2025-10-18,"Eastgate",104,2794.91
2025-10-18,"Crestview",97,3604.92
2025-10-18,"Parkway",152,5798.11
2025-10-18,"Lakeview",127,3560.66
2025-10-19,"Maple St",98,2053.69
2025-10-19,"Riverside",116,3293.48
2025-10-19,"Hilltop",147,4147.97
2025-10-19,"Old Town",107,4385.34
2025-10-19,"Eastgate",102,2965.13
2025-10-19,"Crestview",98,3560.66
2025-10-19,"Parkway",131,4309.16
2025-10-19,"Lakeview",121,2840.87
2025-10-20,"Maple St",91,2734.56
2025-10-20,"Riverside",131,4235.47
2025-10-20,"Hilltop",109,3429.99
2025-10-20,"Old Town",114,3304.61
2025-10-20,"Eastgate",93,3491.65
2025-10-20,"Crestview",93,2840.87
2025-10-20,"Parkway",135,4145.01
2025-10-20,"Lakeview",133,4884.74
2025-10-21,"Maple St",79,3118.04
2025-10-21,"Riverside",125,3301.02
2025-10-21,"Hilltop",130,3907.57
2025-10-21,"Old Town",121,3568.95
2025-10-21,"Eastgate",101,2516.81
2025-10-21,"Crestview",114,4884.74
2025-10-21,"Parkway",134,4041.64
2025-10-21,"Lakeview",127,3470.23
2025-10-22,"Maple St",101,2815.25
2025-10-22,"Riverside",110,3323.81
2025-10-22,"Hilltop",152,4808.81
2025-10-22,"Old Town",104,3833.12
2025-10-22,"Eastgate",111,4266.81
2025-10-22,"Crestview",124,3470.23
2025-10-22,"Parkway",120,3820.86
2025-10-22,"Lakeview",133,3224.08
2025-10-23,"Maple St",98,2585.9
2025-10-23,"Riverside",114,4201
2025-10-23,"Hilltop",121,3795.2
2025-10-23,"Old Town",112,4070.23
2025-10-23,"Eastgate",92,2781.51
2025-10-23,"Crestview",115,3224.08
2025-10-23,"Parkway",144,3707.95
2025-10-23,"Lakeview",116,3674.19
2025-10-24,"Maple St",93,2522.27
2025-10-24,"Riverside",118,3049.89
2025-10-24,"Hilltop",137,3156.34
2025-10-24,"Old Town",123,2859.71
2025-10-24,"Eastgate",79,4072.43
2025-10-24,"Crestview",99,3674.19
2025-10-24,"Parkway",127,4080.24
2025-10-24,"Lakeview",126,4357.95
2025-10-25,"Maple St",73,2864.55
2025-10-25,"Riverside",121,2817
2025-10-25,"Hilltop",128,4146.08
2025-10-25,"Old Town",101,4017.74
2025-10-25,"Eastgate",92,3092.05
2025-10-25,"Crestview",106,4357.95
2025-10-25,"Parkway",134,5125.4
2025-10-25,"Lakeview",128,3441.93
2025-10-26,"Maple St",78,2148.09
2025-10-26,"Riverside",118,2542.98
2025-10-26,"Hilltop",133,3774.43
2025-10-26,"Old Town",113,4116.51
2025-10-26,"Eastgate",103,2729.12
2025-10-26,"Crestview",102,3441.93
2025-10-26,"Parkway",134,5310.26
2025-10-26,"Lakeview",129,5004.54
