"courier","zone","distance_km","delivery_min"
"bike","Z1",8.36,53.2
"scooter","Z1",9.64,51.5
"bike","Z1",1.65,33.4
"car","Z3",6.69,39.7
"scooter","Z1",8.94,54.9
"scooter","Z1",2.03,23.6
"bike","Z2",0.61,12.4
"bike","Z5",5.99,42.8
"car","Z5",10.23,53.4
"car","Z1",1.51,22.3
"car","Z3",1.06,14
"car","Z3",0.6,14.4
"scooter","Z3",3.12,21.8
"scooter","Z1",9.53,50.6
"car","Z3",2.42,22.8
"car","Z1",0.8,22.2
"bike","Z4",4.46,29.5
"car","Z1",7.81,50.1
"scooter","Z3",9.96,52.6
"bike","Z2",8.56,54.3
"bike","Z5",4.61,35.7
"car","Z4",6.02,36.5
"car","Z5",4.2,41.1
"bike","Z4",8.64,49.9
"car","Z3",6.96,41.4
"car","Z1",8.61,46
"car","Z4",8.16,46.1
"bike","Z4",2.77,32.8
"car","Z3",0.42,15.1
"scooter","Z4",5.38,32.9
"scooter","Z4",1.53,23.5
"scooter","Z2",6.39,45.4
"bike","Z2",0.59,23.9
"car","Z4",6.01,36.9
"scooter","Z3",8.08,45
"car","Z3",0.47,11.8
"scooter","Z1",2.18,19.8
"scooter","Z4",5.17,33.3
"scooter","Z5",0.89,32.4
"car","Z3",7.89,55
"bike","Z4",2.6,20.7
"car","Z1",6.98,39.1
"bike","Z2",8.23,46.4
"bike","Z4",1.95,19.8
"car","Z3",4.12,26.6
"bike","Z5",10.63,55.4
"bike","Z2",2.84,20.7
"scooter","Z2",10.43,57.6
"scooter","Z4",3,23.5
"scooter","Z2",8.09,45.5
"bike","Z2",9.71,59.9
"car","Z5",3.61,29.4
"car","Z1",5.59,42.9
"bike","Z2",6,50.9
"scooter","Z3",10.66,59.7
"bike","Z2",9.54,56.8
"bike","Z4",10.32,59.6
"scooter","Z5",7.35,58.1
"scooter","Z4",10.68,55.1
"scooter","Z4",2.81,22.1
"scooter","Z4",4.15,33.7
"car","Z3",8.58,47.8
"bike","Z2",3.29,33
"scooter","Z4",4.04,26.2
"bike","Z4",6.98,41.8
"bike","Z3",5.01,35.9
"car","Z5",6.53,43.6
"scooter","Z2",9.1,55.6
"car","Z4",1.33,14.5
"bike","Z2",9.43,53
"car","Z2",2.28,18.6
"scooter","Z2",3.11,32.3
"scooter","Z5",2.99,27.9
"scooter","Z5",0.85,14.9
"car","Z3",9.81,59.4
"bike","Z2",2.74,36.6
"car","Z2",10.01,52.6
"scooter","Z2",3.9,30.9
"bike","Z1",11.21,57.6
"car","Z1",0.63,11.6
"scooter","Z4",3.06,21.7
"car","Z3",5.47,32.4
"bike","Z4",10.81,57.1
"car","Z3",0.4,11.4
"car","Z1",3.84,26.1
"bike","Z1",1.1,13.7
"car","Z1",6.68,58.9
"scooter","Z3",2.92,28.3
"scooter","Z4",10.55,55.2
"car","Z1",4.38,33.4
"bike","Z3",1.04,14.7
"bike","Z3",10.4,56.6
"car","Z4",5.65,35.6
"car","Z1",7.65,42.9
"bike","Z5",4.72,36.9
"bike","Z4",4.04,31.1
"bike","Z5",0.81,15.5
"bike","Z4",0.6,11.1
"car","Z3",2.46,25.8
"car","Z4",8.78,46.8
"scooter","Z1",9.19,49.7
"bike","Z1",3.74,33.8
"car","Z1",8.22,55.1
"bike","Z5",5.44,36.2
"bike","Z3",3.09,22.5
"bike","Z2",5.49,32.8
"bike","Z3",7.09,41.6
"bike","Z4",6.56,39.2
"scooter","Z5",1.37,16
"scooter","Z4",4.33,31.5
"bike","Z3",6.07,49.7
"scooter","Z4",7.01,43.5
"bike","Z2",5.89,35.1
"scooter","Z5",10.25,56.1
"bike","Z1",11.48,58.8
"bike","Z2",4.42,40.7
"car","Z3",7.52,43.2
"bike","Z3",7.61,45.9
"scooter","Z4",5.4,32.8
"bike","Z5",8.68,46.6
"scooter","Z5",9.71,52.7
"bike","Z1",4.77,31.7
"scooter","Z2",10.16,53.5
"car","Z1",2.5,20.3
"car","Z2",4.18,41.4
"bike","Z1",4.6,29.3
"scooter","Z1",8.15,45
"scooter","Z2",4.42,31.3
"bike","Z2",1.04,14.7
"scooter","Z3",8.76,49.9
"bike","Z2",5.66,41.4
"bike","Z1",2.58,27.1
"car","Z3",3.03,42.8
"scooter","Z2",8.94,47.5
"car","Z5",3.66,28.6
"scooter","Z5",2.84,21.3
"car","Z4",7.28,48.2
"bike","Z1",0.76,13.4
"bike","Z1",3.52,23.5
"scooter","Z3",9.7,57.4
"bike","Z1",5.93,36.8
"bike","Z3",6.16,38.4
"car","Z2",9.76,53.2
"car","Z2",0.42,19.7
"bike","Z1",8.79,48.1
"scooter","Z5",0.64,16.6
"bike","Z2",6.77,42.5
"car","Z1",8.31,48.4
"bike","Z5",2.34,30.2
"car","Z3",1.23,13.7
"bike","Z5",0.61,22.2
"bike","Z1",5.79,54.3
"car","Z3",2.9,33.9
"scooter","Z4",4.37,31.2
"bike","Z4",4.56,36.5
"scooter","Z4",2.96,29.7
"bike","Z3",6.88,39.1
"scooter","Z5",11.12,57.5
"bike","Z1",9.72,55.9
"car","Z5",6.06,36
"car","Z1",0.87,16.6
"car","Z1",6.79,52.4
"car","Z2",4.9,33.2
"scooter","Z3",7.48,47.6
"car","Z1",1.7,25.1
"scooter","Z1",1.39,15.8
"scooter","Z5",7.8,44.4
"bike","Z3",3.24,34.1
"car","Z5",5.28,37.3
"car","Z2",1.38,16.5
"bike","Z3",0.98,13.4
"car","Z1",5.77,55.6
"bike","Z3",5.78,36.1
"bike","Z1",1.18,21.6
"scooter","Z1",5.62,38.9
"scooter","Z5",2.89,30.1
"car","Z5",7.42,40.9
"car","Z4",4.76,33.8
"scooter","Z1",3.86,25.7
"bike","Z1",9.04,55.8
"bike","Z1",7.89,56.9
"bike","Z4",5.72,37.7
"scooter","Z1",6.2,35.6
"car","Z5",10.2,53.1
"car","Z3",3.46,29.8
"scooter","Z5",0.94,12.5
"bike","Z3",6.56,43.2
"bike","Z1",9.07,52.8
"car","Z3",4.81,35.7
"car","Z4",2.59,20.5
"scooter","Z3",4.65,44
"bike","Z3",5.96,36.4
"car","Z1",8.21,47.2
"bike","Z5",1.02,13.6
"car","Z5",6.23,37.2
"car","Z3",7.28,48.9
"scooter","Z3",5.14,42.6
"car","Z1",0.7,12.8
"scooter","Z3",5.24,34.4
"bike","Z5",7.25,40.6
"bike","Z2",9.09,49.7
"scooter","Z3",6.92,45
"scooter","Z4",7.45,48.1
"car","Z3",6.69,49.7
"bike","Z5",0.49,17.6
"car","Z5",0.45,38.7
"bike","Z1",0.47,14.9
"scooter","Z5",5.04,30.7
"scooter","Z5",8.32,49.7
"car","Z4",5.36,32.7
"scooter","Z4",9.23,51.6
"bike","Z3",3.82,26
"car","Z1",7.68,54.7
"bike","Z2",11.4,58.4
"car","Z1",2.1,20
"scooter","Z5",0.6,24.9
"scooter","Z3",6.45,39
