"station","battery_pct","temperature_c","humidity_pct"
"ST-06",87,21.8,32
"ST-16",27,13.6,82.1
"ST-17",95,20.4,92.7
"ST-16",41,22.7,52.1
"ST-07",31,11.6,85.9
"ST-11",76,29.9,27.1
"ST-17",65,15.8,63.4
"ST-04",17,21.3,30.8
"ST-04",75,16.2,67.3
"ST-02",17,31.5,48.1
"ST-02",76,8.2,68.3
"ST-06",65,7.3,82.3
"ST-14",52,20.9,59.3
"ST-12",78,25.7,67.8
"ST-03",59,4.1,83
"ST-15",64,17.4,76.5
"ST-11",18,15,82.3
"ST-14",84,28.6,56.7
"ST-16",98,20.5,58
"ST-06",64,24.2,68.4
"ST-01",73,29.9,41
"ST-08",62,4.5,79.4
"ST-09",56,25.9,46.5
"ST-18",63,6.7,89.3
"ST-17",57,7.4,85.7
"ST-10",65,14.2,54.6
"ST-14",62,22.5,47.2
"ST-01",100,29.1,58.2
"ST-10",84,5,66.8
"ST-05",55,20,32
"ST-09",50,14.6,65.7
"ST-05",16,20.9,58
"ST-09",69,32.6,31.1
"ST-18",48,10.9,67.6
"ST-17",28,22.7,67
"ST-12",56,8.2,86.8
"ST-14",69,25.9,65.2
"ST-15",19,6.2,80
"ST-14",62,11,66.7
"ST-02",30,18,38.5
"ST-14",85,21.4,57.4
"ST-15",83,29.1,41.3
"ST-18",78,19,68
"ST-17",41,7.4,85.6
"ST-18",63,18.4,85.6
"ST-15",64,35.5,44.8
"ST-18",12,14.6,62.2
"ST-02",94,13.6,82.2
"ST-01",25,4.6,70
"ST-03",52,16.2,79.3
"ST-10",70,18.5,52.4
"ST-03",79,17.4,40.1
"ST-16",37,18.5,72.8
"ST-11",51,22.5,63.3
"ST-11",29,6.7,64
"ST-07",41,4.1,83.6
"ST-16",25,21,61.3
"ST-17",44,24.6,41.4
"ST-03",46,10.8,81.3
"ST-18",39,33.6,78.7
"ST-08",48,15.9,60.6
"ST-05",29,32.8,47.5
"ST-09",33,20.6,49.7
"ST-12",11,29.1,59.6
"ST-13",73,28.7,63.6
"ST-14",68,23.5,40.1
"ST-13",62,8.4,87.7
"ST-17",92,21,29.1
"ST-08",16,31,52.4
"ST-07",90,19.1,35.7
"ST-04",31,12.3,83.8
"ST-08",78,30.9,44.7
"ST-16",92,21.1,74.9
"ST-16",32,14.3,71.4
"ST-15",63,21.1,87.3
"ST-09",87,20.7,28.3
"ST-02",12,15.4,71.8
"ST-08",44,32.1,31.8
"ST-13",55,18.2,89.5
"ST-07",62,25.5,68.5
"ST-08",29,12.6,60.2
"ST-15",53,23.6,75.6
"ST-17",12,27.7,56.9
"ST-18",47,26.9,37.6
"ST-03",57,7.7,56.7
