"school_id","district","level","class_size","pass_rate"
"SCH081","north","high",36,0.694
"SCH082","west","middle",35,0.829
"SCH083","south","high",11,0.636
"SCH084","central","middle",37,0.73
"SCH085","central","middle",11,0.909
"SCH086","south","elementary",24,0.75
"SCH087","central","middle",22,0.682
"SCH088","north","high",15,0.933
"SCH089","south","middle",7,0.286
"SCH090","central","high",19,0.632
"SCH091","west","elementary",12,0.833
"SCH092","east","high",32,0.875
"SCH093","north","middle",14,0.857
"SCH094","south","middle",28,0.714
"SCH095","north","elementary",14,0.714
"SCH096","east","middle",30,0.833
"SCH097","south","high",8,0.625
"SCH098","south","elementary",17,0.588
"SCH099","east","middle",20,0.6
"SCH100","south","elementary",40,0.8
"SCH101","south","high",23,0.696
"SCH102","west","middle",24,0.625
"SCH103","south","elementary",31,0.71
"SCH104","central","elementary",40,0.85
"SCH105","east","middle",32,0.812
"SCH106","south","high",15,0.533
"SCH107","north","high",32,0.688
"SCH108","west","middle",28,0.857
"SCH109","central","elementary",17,0.706
"SCH110","central","elementary",30,0.733
"SCH111","east","high",15,0.733
"SCH112","west","elementary",31,0.871
"SCH113","central","middle",26,0.885
"SCH114","central","elementary",17,0.824
"SCH115","east","middle",20,0.75
"SCH116","south","middle",38,0.789
"SCH117","north","high",20,0.7
"SCH118","south","high",19,0.895
"SCH119","west","middle",35,0.657
"SCH120","east","elementary",38,0.658
"SCH121","east","middle",38,0.816
"SCH122","south","middle",30,0.7
"SCH123","east","elementary",31,0.839
"SCH124","south","high",28,0.679
"SCH125","north","elementary",24,0.625
"SCH126","central","high",23,0.826
"SCH127","south","middle",40,0.775
"SCH128","north","elementary",13,0.846
"SCH129","east","high",38,0.816
"SCH130","west","middle",14,0.5
"SCH131","north","elementary",23,0.652
"SCH132","west","elementary",35,0.514
"SCH133","east","high",19,0.632
"SCH134","east","middle",40,0.65
"SCH135","east","elementary",16,0.938
"SCH136","south","high",22,0.773
"SCH137","north","high",33,0.788
"SCH138","west","elementary",18,0.722
"SCH139","east","elementary",34,0.647
"SCH140","west","elementary",20,0.75
"SCH141","west","middle",28,0.821
"SCH142","south","middle",17,0.471
"SCH143","west","elementary",7,0.571
"SCH144","north","elementary",34,0.676
"SCH145","south","high",23,0.696
"SCH146","north","high",39,0.718
"SCH147","west","elementary",8,0.75
"SCH148","central","high",25,0.72
"SCH149","east","middle",34,0.765
"SCH150","west","middle",10,0.5
"SCH151","central","middle",17,0.824
"SCH152","east","high",12,0.667
"SCH153","central","middle",39,0.718
"SCH154","west","high",35,0.8
"SCH155","west","elementary",16,0.75
"SCH156","central","high",31,0.71
"SCH157","east","elementary",39,0.692
"SCH158","north","elementary",38,0.789
"SCH159","north","elementary",13,0.692
"SCH160","north","elementary",24,0.833
"SCH161","east","middle",11,0.545
"SCH162","north","elementary",22,0.818
"SCH163","east","high",21,0.857
"SCH164","north","high",24,0.708
"SCH165","north","elementary",9,0.778
"SCH166","central","elementary",10,0.7
"SCH167","central","middle",19,0.737
"SCH168","central","middle",6,0.5
"SCH169","central","elementary",37,0.865
"SCH170","central","middle",14,0.857
"SCH171","west","high",12,0.667
"SCH172","east","elementary",38,0.789
"SCH173","north","elementary",38,0.763
"SCH174","central","middle",13,0.769
"SCH175","central","middle",35,0.8
"SCH176","south","elementary",13,0.769
"SCH177","east","elementary",24,0.625
"SCH178","north","elementary",34,0.706
"SCH179","north","middle",13,0.692
"SCH180","central","elementary",31,0.774
"SCH181","east","elementary",17,0.765
"SCH182","north","high",25,0.56
"SCH183","west","elementary",27,0.741
"SCH184","east","middle",7,1
"SCH185","central","elementary",9,0.667
"SCH186","east","middle",9,0.667
"SCH187","central","elementary",21,0.714
"SCH188","east","elementary",30,0.733
"SCH189","south","elementary",17,0.765
"SCH190","south","elementary",31,0.548
"SCH191","west","middle",17,0.647
"SCH192","east","elementary",8,0.375
"SCH193","north","high",10,0.5
"SCH194","south","elementary",34,0.588
"SCH195","east","middle",29,0.69
"SCH196","north","high",10,0.7
"SCH197","central","elementary",36,0.694
"SCH198","south","middle",36,0.889
"SCH199","central","elementary",14,0.643
"SCH200","east","elementary",34,0.794
