"order_id","carrier","weight_kg","cost_usd"
534964,"Postal",20.69,15.15
916870,"UPX",4.9,10.03
552275,"FedDel",16.52,14.02
791597,"FedDel",19.59,16.85
400878,"FedDel",28.17,18.78
597979,"Postal",27.65,17.75
967651,"Postal",3.58,8.95
482553,"Postal",11.23,9.35
982511,"UPX",1.3,7.86
798743,"FedDel",29.09,19.23
285819,"UPX",5.33,0.53
952941,"Postal",25.11,18.96
234313,"FedDel",3.71,8.61
223802,"UPX",11.18,10.42
805139,"Postal",9.88,2.45
722578,"Postal",11.56,11.84
713984,"Postal",23.24,16.75
591241,"UPX",9.58,10.58
427857,"FedDel",16.51,14.57
652108,"Postal",11.99,12.72
949611,"Postal",10.99,12.73
928656,"FedDel",3.91,8.61
167522,"UPX",25.7,17.81
240267,"FedDel",10.92,12.04
182380,"Postal",15.01,12.6
690754,"UPX",12.51,10.54
118971,"UPX",19.01,16.5
157908,"Postal",29.48,20.4
781300,"FedDel",15.46,13.23
355597,"UPX",19.91,15.41
568397,"UPX",19.01,24.75
987619,"UPX",16.32,14.7
677298,"FedDel",0.43,6.46
774222,"FedDel",14.01,13.33
463798,"FedDel",27.66,17.93
384068,"FedDel",23.19,17.98
898213,"FedDel",17.67,14.85
659320,"UPX",2.84,8.85
812379,"UPX",28.25,19.29
331467,"FedDel",19.47,15.33
982773,"Postal",25.91,19.54
460854,"Postal",13.36,12.22
644238,"UPX",24.19,16.13
369699,"FedDel",9.81,11.8
883180,"UPX",7.25,11.31
894736,"FedDel",25.42,19.24
828736,"FedDel",22.22,16.81
640586,"FedDel",2.3,6.27
162246,"UPX",25.53,17.91
284478,"FedDel",9.66,5.15
755160,"FedDel",3.91,7.04
422590,"FedDel",9.74,12.32
833181,"Postal",16.38,14.07
395254,"Postal",14.64,13.19
821548,"UPX",8.64,9.59
447922,"UPX",14.04,12.75
729162,"UPX",17.3,22.98
412754,"FedDel",11.71,14.37
814225,"FedDel",28.8,20.86
646985,"Postal",9.62,3.94
582243,"FedDel",7.87,6.66
647937,"UPX",8.92,9.46
994403,"FedDel",14.86,13.58
794625,"UPX",17.57,13.03
892198,"Postal",23.32,16.85
195415,"UPX",18.35,15.63
189653,"UPX",24.92,18.51
772442,"Postal",23.48,16.98
231041,"FedDel",5.66,9.71
771398,"FedDel",20.9,15.76
276395,"Postal",12.5,12.78
856607,"UPX",27.45,18.24
194709,"Postal",0.84,6.1
770170,"Postal",8.07,9.23
259057,"FedDel",25.37,21.24
629101,"Postal",23.76,16.64
481938,"FedDel",18.45,16.24
307311,"UPX",5.03,9.5
146353,"UPX",9,10.68
158110,"FedDel",7.54,8.27
377955,"Postal",10.33,11.73
871610,"UPX",13.54,13.02
643376,"UPX",13.79,13.62
556450,"FedDel",19.61,28.02
117094,"UPX",5.75,9.59
411680,"UPX",8.73,10.12
973157,"FedDel",20.44,15.81
947713,"Postal",24.36,16.32
437834,"FedDel",29.54,20.61
851750,"Postal",21.81,16.6
955376,"FedDel",9.38,11.45
186343,"FedDel",8.6,12.53
795425,"FedDel",9.09,10.74
658340,"Postal",23.26,17.28
167165,"Postal",13.06,12.7
310717,"Postal",5.9,9.55
773498,"FedDel",7.81,8.69
966857,"FedDel",27.69,20.91
141391,"Postal",18.56,29.13
793845,"FedDel",29.75,19.68
744937,"UPX",23.38,18.81
253150,"UPX",8.68,8.8
