"member_id","tier","join_date","visits_per_month"
"M81163","basic",2023-04-28,3.8
"M76559","plus",2023-12-29,4.1
"M86893","basic",2025-09-11,9.2
"M15512","basic",2024-07-13,4.3
"M92731","plus",2024-12-29,6.9
"M52825","plus",2024-06-17,6.3
"M80507","family",1970-01-01,7.9
"M94419","plus",2022-06-16,4.2
"M25894","basic",2024-11-17,5.1
"M35933","family",2023-07-15,1.7
"M14810","basic",2022-08-29,2.8
"M97822","family",2022-12-02,4.2
"M45623","basic",2022-12-20,2.7
"M26031","plus",2025-03-22,4.7
"M46805","basic",2023-07-01,1.4
"M82475","plus",2023-05-24,6.7
"M53287","family",2023-09-06,2.4
"M22652","family",2024-09-16,6.9
"M13229","family",2025-01-14,3.6
"M14882","family",2024-12-17,3.7
"M65172","basic",2024-07-03,3.9
"M21448","family",2024-10-08,8.9
"M53313","family",1970-01-01,7.3
"M21682","basic",2023-10-25,7
"M81370","basic",2023-10-11,7.4
"M52135","family",2025-06-03,5.8
"M74145","plus",2022-06-17,5.1
"M17696","plus",2024-06-19,6.8
"M19396","basic",2024-01-18,6.4
"M91597","plus",2022-08-20,2.2
"M51947","family",2023-07-11,2.8
"M88937","family",2024-06-27,3.4
"M80659","family",2022-07-22,5.9
"M55101","plus",2024-01-07,7
"M14404","plus",1970-01-01,6.1
"M54925","basic",2025-07-20,8.1
"M69620","family",2022-12-06,5.2
"M11953","family",1970-01-01,2.4
"M40791","plus",2023-12-19,4.5
"M97007","basic",2023-01-12,6.1
"M35467","family",2025-04-06,7.7
"M73460","plus",2023-12-22,3.8
"M70307","plus",2023-12-06,5.1
"M71098","plus",2023-09-04,3.2
"M50924","basic",1970-01-01,4.1
"M21616","basic",2024-08-22,4.6
"M85947","basic",2024-08-07,5.2
"M71269","family",2022-10-06,1.8
"M21913","family",2025-09-12,6.3
"M14156","family",2022-12-28,3.2
"M50942","plus",2023-02-06,3.5
"M13398","plus",2024-05-15,7.9
"M95060","family",2022-07-18,1
"M59275","family",2025-06-25,6
"M59629","plus",2025-01-01,8.1
"M20991","family",2025-04-27,9.3
"M25637","family",2024-02-29,7.3
"M35321","basic",2024-09-02,8
"M80107","basic",2024-07-07,3.7
"M84045","family",2023-03-18,4.6
"M61769","family",1970-01-01,5.8
"M22187","family",2025-03-18,7.5
"M45842","family",2022-12-18,5.5
"M64758","plus",2024-07-26,5.3
"M33223","basic",2024-12-11,6.3
"M39921","family",2024-10-16,4.5
"M21587","plus",2022-07-02,7.1
"M37637","basic",2023-08-03,1
"M95478","family",2023-12-03,5.4
"M56809","family",2024-02-05,7.3
"M77575","family",2022-06-03,4.5
"M20703","plus",2025-01-15,6.5
"M14450","family",2022-10-27,2.6
"M41981","basic",2022-09-22,5
"M26630","family",2023-05-06,3.7
"M80762","family",2023-06-05,3
"M77984","basic",2022-06-11,5.4
"M12880","plus",2023-05-21,4.5
"M13366","basic",2024-01-11,5.8
"M26949","basic",1970-01-01,2.3
"M76622","family",2023-05-12,3.7
"M43009","plus",2022-12-01,2.6
"M50645","plus",2025-06-04,6.1
"M92207","family",2024-03-02,4.9
"M49310","plus",2022-10-01,7
"M14133","family",2024-04-23,6.4
"M62634","plus",2023-11-24,3.4
"M42649","basic",2025-02-17,8.2
"M55920","plus",2025-03-19,5.2
"M44381","basic",2025-01-05,3.5
"M73832","basic",1970-01-01,6.2
"M44456","plus",2025-07-31,8.1
"M16876","basic",2024-05-08,3.6
"M28004","plus",2022-07-31,2.2
"M98349","plus",2023-09-21,5.1
"M37802","family",2025-06-06,8.8
"M36192","family",2023-03-24,4.6
"M53426","family",2022-08-28,3.2
"M43098","plus",2024-11-17,6.6
"M82717","basic",2024-06-23,7.1
"M98509","family",2024-05-11,4.6
"M72232","family",2023-10-27,4.2
"M56576","family",2024-07-25,5.3
"M44685","family",2024-07-15,6
"M90809","basic",2023-10-07,4.8
"M77384","plus",2024-01-14,2.3
"M34506","plus",2025-01-15,8.8
"M64244","family",1970-01-01,2.7
"M12906","plus",2023-11-04,5.4
"M26211","plus",2025-02-03,6.2
"M33484","basic",2025-05-23,4.7
"M15303","family",2025-08-28,6
"M34157","plus",1970-01-01,7.4
"M70102","family",2023-11-20,5.2
"M57404","plus",2023-01-17,8.8
"M21369","plus",2023-02-13,3.7
"M10884","basic",2023-07-27,5.4
"M70228","plus",2025-02-08,7.2
"M75885","plus",2024-04-28,5.9
"M60672","family",2023-12-25,4.9
"M43232","family",2023-05-01,1.1
