"meter_id","dwelling","outdoor_temp_c","heating_kwh"
"MTR1635","apartment",-7.7,46.35
"MTR9669","apartment",-4.2,43.54
"MTR3167","detached",11.8,20.89
"MTR8097","apartment",7.7,26.84
"MTR2658","townhouse",8.9,28.4
"MTR8196","detached",11.7,23.64
"MTR6570","townhouse",3.1,42.79
"MTR9903","apartment",9.1,24.8
"MTR4073","townhouse",11.2,20.84
"MTR6812","townhouse",9.2,24.66
"MTR2013","townhouse",4.7,33.26
"MTR2805","apartment",-5.2,45.54
"MTR7798","townhouse",3.3,31.87
"MTR9754","detached",-0.4,38.58
"MTR3788","apartment",5.5,30.02
"MTR1546","detached",14.3,16.45
"MTR3732","townhouse",10.4,22.92
"MTR2293","apartment",13.4,17.19
"MTR2735","apartment",0.7,36.82
"MTR1932","detached",6.5,28.58
"MTR4061","townhouse",15.8,15.09
"MTR9422","townhouse",-6.3,48.05
"MTR6573","townhouse",5.1,29.52
"MTR5264","detached",-6.2,40.31
"MTR5323","detached",-3.9,45.4
"MTR7610","apartment",12.2,26.03
"MTR6638","townhouse",15.1,16.1
"MTR8199","apartment",12.6,27.48
"MTR5540","detached",14,14.5
"MTR6126","apartment",12.5,19.88
"MTR8760","townhouse",-6.8,47.86
"MTR1389","detached",-1.7,36.86
"MTR9505","apartment",4.5,31.48
"MTR7573","detached",-0.6,35.97
"MTR5623","detached",-0.8,40.33
"MTR1364","detached",-3.3,39.26
"MTR1813","detached",7.5,26.92
"MTR5469","townhouse",9.6,17.19
"MTR8114","townhouse",7.4,30.97
"MTR9975","apartment",4.1,32.06
"MTR7507","apartment",11,23
"MTR8700","detached",2.1,34.95
"MTR7416","apartment",-6.5,55.12
"MTR2467","apartment",17.9,17.28
"MTR1818","apartment",-2.7,39.14
"MTR7481","detached",6.1,29.16
"MTR5345","detached",8.2,23.19
"MTR5932","apartment",6.9,27.99
"MTR3970","detached",3.8,35.48
"MTR8197","townhouse",10.2,23.21
"MTR7592","detached",9.7,28.78
"MTR5273","detached",-3.2,40.89
"MTR4938","detached",8.2,26.11
"MTR6761","detached",-6,48.61
"MTR2652","detached",-2.7,36.53
"MTR9460","detached",-1.2,38.46
"MTR3613","detached",15.9,15.46
"MTR5242","apartment",4,30.87
"MTR2369","townhouse",6.2,29.01
"MTR7357","detached",-3.2,42.64
"MTR7577","detached",2.7,34.08
"MTR5693","apartment",-2.1,41.05
"MTR1581","townhouse",7.2,23.38
"MTR2772","townhouse",9.5,32.14
"MTR2629","detached",1.7,35.53
"MTR6209","apartment",0.7,36.98
"MTR2945","apartment",17.5,15.97
"MTR5604","apartment",-1.8,39.36
"MTR6353","apartment",-5.3,45.81
"MTR7027","townhouse",8.1,25.56
"MTR4326","apartment",3.9,32.45
"MTR1475","detached",-0.6,37.84
"MTR2626","detached",-2,42.35
"MTR5923","townhouse",16.1,15.88
"MTR3807","detached",18,22.86
"MTR2042","detached",-0.7,39.15
"MTR8379","detached",0.2,37.71
"MTR3998","detached",13.5,19.07
"MTR9356","detached",-1.1,44.36
"MTR8166","townhouse",13.6,17.65
"MTR9060","apartment",15,15.15
"MTR8463","apartment",9.9,19.35
"MTR8041","townhouse",13.1,23.03
"MTR9271","detached",5.5,30.02
"MTR6518","apartment",16.2,9.33
"MTR8004","townhouse",11,18.58
"MTR9953","detached",12.7,19.16
"MTR6234","detached",7.6,26.13
"MTR7578","apartment",0.5,42.47
"MTR4199","apartment",-4.5,44.52
"MTR2176","townhouse",-5.5,43.7
"MTR6180","apartment",-5.7,46.26
"MTR3584","townhouse",-7.6,48.45
"MTR8860","detached",11.5,28.03
"MTR4511","detached",-5,45.25
"MTR2352","apartment",-5.1,44.03
"MTR7001","detached",1.9,34.67
"MTR7748","detached",6.4,20.82
"MTR4488","apartment",11.7,20.04
"MTR3695","townhouse",-2.7,41.92
"MTR5547","detached",-6.3,49.93
"MTR6141","detached",15.6,23.33
"MTR4178","apartment",2.7,38.97
"MTR2282","apartment",-1.6,40.32
"MTR5679","detached",14.8,16.63
"MTR7635","townhouse",3.8,32.49
"MTR8216","townhouse",3.4,33.07
"MTR9903","townhouse",8.4,25.19
"MTR6740","apartment",14.6,21.7
"MTR9733","apartment",-6.7,45.51
"MTR5184","townhouse",14.9,21.06
"MTR3017","townhouse",9.5,21.45
"MTR6572","townhouse",16.2,14.51
"MTR9729","townhouse",9.6,26.29
"MTR4403","townhouse",11.7,14.9
"MTR3456","apartment",15.3,15.82
"MTR3611","townhouse",7.9,34.7
"MTR1772","townhouse",5.7,31.87
"MTR6615","townhouse",17.2,13.95
"MTR5541","apartment",-7.4,60.27
"MTR3559","detached",-1.3,39.88
"MTR5881","townhouse",16,16.88
"MTR3565","apartment",3.8,36.16
"MTR6466","apartment",-5.7,49.68
"MTR9597","detached",15.2,19.43
"MTR9414","apartment",-4.4,46.63
"MTR4190","townhouse",-4.6,43.37
"MTR3589","apartment",12.3,21.21
"MTR7572","detached",0.2,45.92
"MTR9839","townhouse",-0.7,40.39
"MTR2065","detached",11.1,24.08
"MTR8870","apartment",2.4,29.31
"MTR8834","townhouse",-7.9,65.41
"MTR3481","townhouse",7,34.5
"MTR7853","detached",1.5,35.83
"MTR2173","townhouse",16.8,13.64
"MTR8217","townhouse",7.2,27.56
"MTR9165","townhouse",8.4,26.81
"MTR6107","townhouse",12.8,22.83
