"meter_group","day","minute_of_day","demand_kw"
"mixed","2026-06-04",1254.5,3.198
"residential","2026-06-04",49.3,1.896
"mixed","2026-06-04",684.7,2.755
"mixed","2026-06-02",1126.9,3.686
"mixed","2026-06-04",105.4,1.969
"mixed","2026-06-02",1001.1,3.691
"mixed","2026-06-02",272.7,2.338
"mixed","2026-06-03",239.5,2.217
"mixed","2026-06-04",387.1,3.079
"mixed","2026-06-02",1404.9,2.016
"mixed","2026-06-02",521.5,3.885
"mixed","2026-06-04",689.3,2.524
"residential","2026-06-03",705.6,3.137
"residential","2026-06-04",1111.9,3.91
"residential","2026-06-04",273.7,2.244
"residential","2026-06-03",1188.3,3.647
"mixed","2026-06-02",147.4,1.642
"residential","2026-06-03",461.9,3.651
"mixed","2026-06-03",743.1,2.464
"residential","2026-06-02",815.2,2.054
"residential","2026-06-04",1287.3,2.966
"mixed","2026-06-04",290.6,2.069
"mixed","2026-06-02",1046.3,3.124
"residential","2026-06-04",93.4,1.917
"mixed","2026-06-02",1125.5,4.007
"mixed","2026-06-02",1354.7,2.675
"mixed","2026-06-02",570.1,2.955
"mixed","2026-06-04",30.3,2.271
"mixed","2026-06-03",591.8,3.124
"residential","2026-06-03",1309.5,2.797
"mixed","2026-06-02",1198.3,3.7
"residential","2026-06-04",39.6,2.019
"residential","2026-06-03",1418.6,2.481
"mixed","2026-06-04",1061.9,3.828
"residential","2026-06-04",45.7,2.252
"mixed","2026-06-03",225.5,2.276
"mixed","2026-06-02",93,2.435
"mixed","2026-06-02",569.6,3.504
"residential","2026-06-03",566.2,3.443
"mixed","2026-06-03",286.9,1.969
"residential","2026-06-02",996,3.067
"residential","2026-06-03",1345.2,2.75
"mixed","2026-06-04",1071.9,3.672
"mixed","2026-06-04",227.9,2.134
"residential","2026-06-02",101.3,2.701
"mixed","2026-06-04",779.2,1.982
"mixed","2026-06-03",1052,4.391
"residential","2026-06-03",1358.7,2.461
"residential","2026-06-03",806,1.967
"residential","2026-06-03",90.1,2.274
"mixed","2026-06-02",946,3.116
"residential","2026-06-04",992.9,3.326
"residential","2026-06-04",1116.7,3.972
"mixed","2026-06-02",325.1,1.955
"mixed","2026-06-03",165,2.309
"mixed","2026-06-04",413.8,3.202
"mixed","2026-06-04",444.2,3.359
"residential","2026-06-04",1123,4.062
"mixed","2026-06-03",390.5,2.765
"residential","2026-06-04",883.1,2.755
"mixed","2026-06-03",397.6,2.913
"mixed","2026-06-03",920.1,2.919
"mixed","2026-06-04",708.7,2.051
"residential","2026-06-02",161.3,1.833
"mixed","2026-06-02",37.5,2.013
"mixed","2026-06-04",989.5,3.084
"mixed","2026-06-02",657.5,2.582
"residential","2026-06-02",35.8,1.94
"mixed","2026-06-04",80.2,2.459
"mixed","2026-06-04",1043.1,3.662
"residential","2026-06-02",532.2,3.171
"residential","2026-06-03",327.4,2.586
"mixed","2026-06-02",1004.7,3.326
"residential","2026-06-03",50.1,2.298
"residential","2026-06-04",329.4,2.532
"mixed","2026-06-02",983.6,3.05
"residential","2026-06-04",466.4,3.184
"mixed","2026-06-02",572.6,3.222
"residential","2026-06-02",1226.7,3.412
"residential","2026-06-03",160.9,2.702
"residential","2026-06-02",836.8,2.293
"residential","2026-06-02",91.4,2.222
"residential","2026-06-02",27.9,2.895
"residential","2026-06-02",818.7,2.552
"residential","2026-06-03",892.5,2.564
"residential","2026-06-04",1071.5,3.568
"mixed","2026-06-04",20.2,2.027
"mixed","2026-06-03",272.2,1.904
"residential","2026-06-03",1163.9,3.42
"residential","2026-06-03",814.4,2.304
"mixed","2026-06-04",1102.8,3.739
"residential","2026-06-03",384.3,2.975
"residential","2026-06-04",1254.6,3.437
"residential","2026-06-03",205.6,2.313
"mixed","2026-06-02",1169.1,4.106
"residential","2026-06-04",442.1,3.446
"mixed","2026-06-04",884.1,2.856
"mixed","2026-06-04",387.2,2.65
"residential","2026-06-02",1223.6,2.776
"mixed","2026-06-04",454.1,3.228
"residential","2026-06-04",1052.4,4.127
"mixed","2026-06-04",1110.4,4.074
"residential","2026-06-03",409.6,2.627
"mixed","2026-06-04",759.2,2.531
"residential","2026-06-04",1079.1,4.403
"residential","2026-06-04",443.2,3.638
"mixed","2026-06-02",90.3,1.809
"residential","2026-06-03",1013.3,3.349
"residential","2026-06-04",898.4,2.223
"residential","2026-06-03",510.7,3.724
"mixed","2026-06-04",1295.5,2.746
"residential","2026-06-03",1281,3.506
"mixed","2026-06-03",653.6,2.265
"residential","2026-06-02",529.8,3.731
"residential","2026-06-03",214.8,2.157
"mixed","2026-06-02",24.9,2.379
"residential","2026-06-04",1000.3,3.27
"mixed","2026-06-02",501.9,3.885
"residential","2026-06-02",775.5,1.75
"mixed","2026-06-04",1174.9,3.8
"mixed","2026-06-02",750,2.202
"mixed","2026-06-03",707.9,2.402
"mixed","2026-06-02",630.8,2.675
"residential","2026-06-02",515.4,3.727
"mixed","2026-06-04",86.4,1.974
"mixed","2026-06-02",955.9,3.057
"mixed","2026-06-03",948.8,2.803
"residential","2026-06-04",1173.6,4.133
"residential","2026-06-02",769.2,2.733
"residential","2026-06-03",206.3,2.963
"mixed","2026-06-03",645.2,2.699
"mixed","2026-06-04",1414.5,1.832
"residential","2026-06-04",477.4,3.426
"residential","2026-06-02",926.8,2.809
"mixed","2026-06-03",109.3,2.048
"residential","2026-06-03",1295.3,2.503
"mixed","2026-06-02",1284.6,2.912
"mixed","2026-06-03",527.2,4.173
"mixed","2026-06-02",347.8,2.594
"residential","2026-06-02",164.8,2.557
"mixed","2026-06-03",1416.5,1.91
"mixed","2026-06-04",509.4,4.177
"mixed","2026-06-03",1428.2,2.658
"mixed","2026-06-04",31.5,2.066
"residential","2026-06-04",700.5,2.458
"residential","2026-06-02",585.5,2.945
"mixed","2026-06-02",582.8,3.101
"residential","2026-06-04",626.7,2.729
"mixed","2026-06-04",1117,3.897
"mixed","2026-06-03",1181.5,3.489
"mixed","2026-06-03",1238.1,3.437
"mixed","2026-06-04",580.9,3.763
"residential","2026-06-02",861.9,2.346
"residential","2026-06-03",1191.4,4.025
"mixed","2026-06-04",229.3,2.175
"mixed","2026-06-03",575.3,3.265
"residential","2026-06-04",328.6,2.236
"residential","2026-06-03",1242,3.067
"residential","2026-06-03",775,2.064
"mixed","2026-06-03",90,2.183
"mixed","2026-06-04",1286.7,2.426
"mixed","2026-06-03",832.9,2.265
"residential","2026-06-04",1127.5,4.453
"mixed","2026-06-02",959.2,3.218
"residential","2026-06-02",1102.5,4.507
"mixed","2026-06-04",1309.9,1.772
"residential","2026-06-02",568.2,3.537
"mixed","2026-06-04",773.2,2.691
"mixed","2026-06-04",867.3,2.407
"residential","2026-06-03",746.1,2.479
"mixed","2026-06-04",216.2,2.226
"mixed","2026-06-03",681,2.691
"mixed","2026-06-04",1318.1,2.52
"mixed","2026-06-02",756.5,2.414
"mixed","2026-06-03",177.7,2.24
"mixed","2026-06-04",694.6,2.062
"mixed","2026-06-03",934.6,2.872
"mixed","2026-06-02",991,3.406
"residential","2026-06-03",957.5,3.371
"mixed","2026-06-03",1419.9,2.853
"mixed","2026-06-04",173.6,1.444
"residential","2026-06-03",506.6,3.386
"residential","2026-06-03",1126.4,4.614
"residential","2026-06-02",358.1,2.83
"mixed","2026-06-02",415.1,3.011
"residential","2026-06-04",1196.4,3.696
"residential","2026-06-03",561.7,3.111
"mixed","2026-06-03",1378.9,2.056
"residential","2026-06-03",941.9,3.261
"residential","2026-06-03",445.2,3.402
"residential","2026-06-04",1181.5,3.818
"residential","2026-06-02",1313.7,2.473
"residential","2026-06-04",407.6,3.496
"mixed","2026-06-03",800.9,2.09
"residential","2026-06-04",1186.1,3.244
"residential","2026-06-04",517,3.392
"residential","2026-06-02",32.9,2.344
"mixed","2026-06-03",472.3,3.35
"mixed","2026-06-03",1307.4,2.903
"mixed","2026-06-04",1004.9,3.763
"residential","2026-06-02",511.9,3.714
"mixed","2026-06-04",882.8,2.042
"residential","2026-06-03",268.8,2.272
"mixed","2026-06-02",382.7,2.679
"mixed","2026-06-04",205.9,2.859
"residential","2026-06-04",1046,3.592
"mixed","2026-06-02",747.6,2.501
"mixed","2026-06-02",234.5,2.717
"residential","2026-06-04",346.8,2.604
"residential","2026-06-02",1284.8,3.11
"mixed","2026-06-03",802.8,2.715
"mixed","2026-06-04",401.3,3.207
"mixed","2026-06-02",1353.7,2.268
"mixed","2026-06-04",572.5,3.622
"mixed","2026-06-04",1194.4,3.633
"mixed","2026-06-04",1004.5,3.355
"residential","2026-06-02",837.4,2.477
"mixed","2026-06-02",342.9,3.126
"mixed","2026-06-03",1379.4,2.573
"mixed","2026-06-02",932.9,2.808
"residential","2026-06-04",1076.6,4.538
"mixed","2026-06-03",891,2.696
"mixed","2026-06-04",1305.5,2.558
"mixed","2026-06-02",758.7,2.673
"mixed","2026-06-02",47.1,2.277
"residential","2026-06-03",698.4,2.732
"residential","2026-06-04",1311.6,2.633
"mixed","2026-06-02",272.5,1.918
"residential","2026-06-03",921.6,2.745
"mixed","2026-06-03",992.6,3.858
"residential","2026-06-03",284.8,2.109
"residential","2026-06-02",821.4,2.022
"residential","2026-06-02",994,3.165
"residential","2026-06-02",141.7,2.606
"mixed","2026-06-04",261.7,2.224
"residential","2026-06-04",515.2,3.312
"mixed","2026-06-03",539.6,3.418
"mixed","2026-06-04",1134.7,4.23
"residential","2026-06-03",1286,2.689
"residential","2026-06-04",1423.5,1.988
"mixed","2026-06-04",627.4,2.773
"residential","2026-06-02",1080,4.102
"residential","2026-06-02",1414.8,2.999
"residential","2026-06-02",1419.8,2.251
"residential","2026-06-04",173,2.283
"residential","2026-06-02",217.6,2.44
"residential","2026-06-03",53.4,1.945
"residential","2026-06-02",461.5,3.601
"mixed","2026-06-04",1137.9,4.274
"residential","2026-06-04",1136,4
"mixed","2026-06-02",394.9,3.149
"residential","2026-06-03",323.7,2.798
"residential","2026-06-04",223.4,2.32
"residential","2026-06-03",1283.5,2.624
"residential","2026-06-02",504.9,3.846
"residential","2026-06-04",214.1,2.283
"residential","2026-06-02",458.2,3.409
"mixed","2026-06-04",518.2,2.862
"residential","2026-06-04",447.9,3.295
"mixed","2026-06-04",275.7,1.864
"mixed","2026-06-03",209.9,2.349
"mixed","2026-06-04",513.9,3.001
"mixed","2026-06-04",1414.7,2.328
"residential","2026-06-03",228.7,2.45
"residential","2026-06-04",80.4,2.047
"mixed","2026-06-04",1317.7,2.599
"mixed","2026-06-02",1047.7,3.607
"mixed","2026-06-04",1370.3,2.511
"mixed","2026-06-04",1067.9,4.064
"residential","2026-06-02",153.2,2.176
"mixed","2026-06-04",834.9,2.117
"residential","2026-06-03",585.8,3.107
"mixed","2026-06-04",1351.8,2.288
"residential","2026-06-03",1414,2.178
"mixed","2026-06-03",654.6,2.795
"mixed","2026-06-02",477.4,3.748
"residential","2026-06-04",1373.6,2.352
"residential","2026-06-03",1139.9,4.276
"mixed","2026-06-02",1436.1,2.37
"residential","2026-06-03",1237.3,2.665
"residential","2026-06-03",657.7,2.703
"mixed","2026-06-03",1412.7,2.026
"mixed","2026-06-04",630.9,2.896
"residential","2026-06-04",1255.3,3.121
"residential","2026-06-03",26.3,1.831
"residential","2026-06-04",1015.6,3.882
"mixed","2026-06-02",1197.9,3.872
"mixed","2026-06-04",1419.1,2.472
"mixed","2026-06-03",629.6,3.028
"mixed","2026-06-02",103.7,1.892
"mixed","2026-06-04",1056.4,3.601
"mixed","2026-06-04",635,2.97
"mixed","2026-06-03",399,2.83
"mixed","2026-06-03",766.2,2.311
"mixed","2026-06-03",471.8,3.581
"residential","2026-06-03",580.1,3.591
"residential","2026-06-02",1199.2,4.313
"residential","2026-06-02",477,3.507
"residential","2026-06-04",897.4,2.599
"residential","2026-06-02",1297.2,2.408
"residential","2026-06-02",1429.9,2
"residential","2026-06-04",1183.6,4.107
"mixed","2026-06-02",1436.7,2.182
"residential","2026-06-03",1360.8,2.339
"residential","2026-06-02",411.2,3.67
"residential","2026-06-03",45.1,2.299
"mixed","2026-06-03",634.2,3.006
"mixed","2026-06-04",48.6,2.275
"mixed","2026-06-02",170,1.982
"mixed","2026-06-04",349.7,2.895
"mixed","2026-06-03",442.8,3.779
"mixed","2026-06-04",260.5,2.475
"mixed","2026-06-02",1223.3,3.01
"mixed","2026-06-03",1012.2,3.907
"residential","2026-06-04",115.8,2.08
"residential","2026-06-03",448.5,3.842
"mixed","2026-06-04",83.1,2.179
"mixed","2026-06-02",294.7,2.264
"residential","2026-06-03",445.9,3.472
"mixed","2026-06-02",597.4,3.386
"residential","2026-06-02",162.8,1.885
"mixed","2026-06-04",468.5,3.364
"residential","2026-06-03",107,2.091
"mixed","2026-06-03",444,3.401
"residential","2026-06-03",279,2.869
"residential","2026-06-02",398.9,3.096
"mixed","2026-06-04",1000.7,3.457
"mixed","2026-06-04",443.3,3.639
"mixed","2026-06-02",1118.5,4.228
"mixed","2026-06-02",1126.6,4.075
"residential","2026-06-04",87.6,2.559
"mixed","2026-06-02",866.4,2.344
"mixed","2026-06-02",278.9,2.588
"mixed","2026-06-02",1305.3,2.418
"mixed","2026-06-02",393.4,2.651
"residential","2026-06-03",889.3,3.159
"mixed","2026-06-02",993.6,3.445
"residential","2026-06-02",532.3,3.651
"mixed","2026-06-03",776.9,2.486
"residential","2026-06-04",338,2.912
"residential","2026-06-02",644.3,2.725
"mixed","2026-06-04",767,2.413
"mixed","2026-06-03",166.2,2.033
"mixed","2026-06-03",830.4,2.204
"residential","2026-06-03",474.6,3.703
"residential","2026-06-04",174.4,2.212
"residential","2026-06-02",923.8,2.938
"residential","2026-06-03",1001.7,3.902
"residential","2026-06-04",1189.8,3.562
"residential","2026-06-02",1130.8,4.385
"residential","2026-06-04",1297.5,2.778
"residential","2026-06-04",1114.3,4.227
"mixed","2026-06-04",592.1,3.046
"mixed","2026-06-03",1002.4,3.082
"mixed","2026-06-02",23.4,2.693
"residential","2026-06-03",898.2,2.087
"mixed","2026-06-04",1122.4,4.675
"residential","2026-06-02",152.2,2.544
"residential","2026-06-02",582,3.3
"residential","2026-06-04",626.7,3.127
"residential","2026-06-02",217.3,1.78
"mixed","2026-06-02",290.4,2.079
"mixed","2026-06-02",299.7,2
"residential","2026-06-02",1341.3,2.548
"mixed","2026-06-04",889.5,2.552
"residential","2026-06-04",1042.8,4.255
"mixed","2026-06-02",948.3,2.785
"residential","2026-06-02",398.9,3.163
"residential","2026-06-02",942.6,2.867
"residential","2026-06-03",143.3,2.553
"residential","2026-06-02",1110.1,3.99
"residential","2026-06-03",629.2,2.163
"mixed","2026-06-02",345.1,2.442
"mixed","2026-06-02",402.1,2.932
"residential","2026-06-04",697.8,2.261
"residential","2026-06-02",1051.1,3.714
"residential","2026-06-03",380.8,2.714
"residential","2026-06-03",766.1,2.169
"mixed","2026-06-03",104,2.397
"residential","2026-06-03",1197.8,3.818
"mixed","2026-06-03",385.1,3.273
"mixed","2026-06-03",1281.9,2.1
"mixed","2026-06-04",1349.2,2.733
"mixed","2026-06-02",577.7,3.331
"mixed","2026-06-03",884.2,2.455
"residential","2026-06-03",1240.3,3.114
"mixed","2026-06-02",1309.9,2.776
"mixed","2026-06-04",1308.9,2.62
