"visit_id","timestamp","visit_reason","vehicles_viewed"
"V683581","2025-05-07 12:18:36","parts",5
"V616533","2025-05-07 12:28:58","service",4
"V599934","2025-05-07 12:54:05","parts",2
"V716064","2025-05-07 12:56:35","browse",3
"V540877","2025-05-07 12:58:46","browse",1
"V457191","2025-05-07 13:01:38","service",7
"V822495","2025-05-07 13:04:51","test_drive",2
"V948833","2025-05-07 13:33:04","browse",5
"V573272","2025-05-07 13:40:37","test_drive",1
"V406950","2025-05-07 13:43:04","service",5
"V842641","2025-05-07 13:50:38","test_drive",1
"V944023","2025-05-07 13:56:19","browse",8
"V344446","2025-05-07 14:03:05","browse",2
"V799718","2025-05-07 14:16:35","test_drive",1
"V871869","2025-05-07 14:42:58","test_drive",8
"V942339","2025-05-07 15:21:39","test_drive",5
"V725097","2025-05-07 15:29:01","test_drive",5
"V115142","2025-05-07 15:34:00","service",3
"V716137","2025-05-07 15:49:19","service",2
"V787397","2025-05-07 15:54:44","browse",2
"V951592","2025-05-07 16:32:12","test_drive",3
"V610000","2025-05-07 16:34:37","browse",5
"V114136","2025-05-07 16:36:26","browse",4
"V423784","2025-05-07 16:38:01","test_drive",4
"V155914","2025-05-07 16:41:40","test_drive",9
"V924580","2025-05-07 16:53:59","test_drive",1
"V337076","2025-05-07 17:11:11","test_drive",4
"V129460","2025-05-07 18:43:05","test_drive",5
"V184008","2025-05-07 19:25:27","browse",2
"V616418","2025-05-07 21:42:38","browse",2
"V305602","2025-05-07 23:04:35","test_drive",4
"V924046","2025-05-08 01:35:18","browse",4
"V936335","2025-05-08 01:52:36","service",2
"V528428","2025-05-08 02:47:19","browse",3
"V320409","2025-05-08 03:07:16","service",3
"V932913","2025-05-08 03:18:15","parts",1
"V989098","2025-05-08 04:01:01","browse",2
"V385657","2025-05-08 05:42:40","browse",5
"V144116","2025-05-08 06:54:18","test_drive",2
"V863178","2025-05-08 06:58:00","browse",2
"V161990","2025-05-08 07:36:01","service",2
"V655259","2025-05-08 08:35:04","test_drive",2
"V622820","2025-05-08 09:18:40","browse",1
"V957842","2025-05-08 10:18:22","parts",3
"V436011","2025-05-08 10:44:08","parts",1
"V453760","2025-05-08 11:03:04","test_drive",7
"V822472","2025-05-08 11:12:06","browse",3
"V676232","2025-05-08 12:31:31","browse",4
"V988485","2025-05-08 12:52:20","browse",3
"V925729","2025-05-08 13:00:44","test_drive",2
"V840685","2025-05-08 13:19:28","test_drive",6
"V147032","2025-05-08 13:25:35","browse",4
"V730866","2025-05-08 13:33:54","browse",2
"V450460","2025-05-08 13:39:41","browse",4
"V864360","2025-05-08 13:40:23","test_drive",1
"V638166","2025-05-08 13:56:08","test_drive",5
"V654930","2025-05-08 14:27:15","test_drive",3
"V825171","2025-05-08 14:38:03","test_drive",2
"V887482","2025-05-08 14:50:42","test_drive",3
"V399510","2025-05-08 15:48:11","browse",4
"V351834","2025-05-08 15:54:06","browse",4
"V278670","2025-05-08 16:11:56","service",4
"V154174","2025-05-08 16:19:52","service",3
"V780007","2025-05-08 17:47:44","browse",4
"V960163","2025-05-08 17:51:21","test_drive",3
"V304162","2025-05-08 18:08:08","parts",3
"V254632","2025-05-08 18:52:21","test_drive",4
"V697870","2025-05-08 19:05:08","browse",4
"V429373","2025-05-08 19:26:00","browse",2
"V926383","2025-05-08 19:36:01","parts",5
"V494085","2025-05-08 19:41:11","test_drive",7
"V979362","2025-05-08 20:20:43","parts",3
"V323224","2025-05-08 21:26:36","test_drive",4
"V281031","2025-05-09 00:38:03","browse",5
"V213620","2025-05-09 04:54:38","browse",2
"V409986","2025-05-09 06:11:25","test_drive",5
"V678558","2025-05-09 09:15:07","browse",1
"V599061","2025-05-09 10:06:18","browse",1
"V752593","2025-05-09 10:39:10","browse",3
"V160686","2025-05-09 10:46:18","test_drive",5
"V829895","2025-05-09 10:56:48","browse",9
"V623152","2025-05-09 11:08:15","browse",2
"V201465","2025-05-09 11:36:16","browse",4
"V207829","2025-05-09 12:08:50","test_drive",2
"V103554","2025-05-09 12:20:51","browse",1
"V199189","2025-05-09 12:26:12","test_drive",2
"V790852","2025-05-09 12:35:48","browse",5
"V736428","2025-05-09 12:35:48","test_drive",3
"V673621","2025-05-09 12:50:23","test_drive",3
"V526958","2025-05-09 12:55:10","test_drive",5
"V543050","2025-05-09 13:05:58","test_drive",3
"V893966","2025-05-09 13:06:57","browse",7
"V817135","2025-05-09 13:14:34","test_drive",2
"V599019","2025-05-09 13:15:02","browse",4
"V388934","2025-05-09 13:30:03","service",3
"V200114","2025-05-09 14:02:23","browse",3
"V828636","2025-05-09 14:27:19","browse",5
"V182298","2025-05-09 14:35:20","test_drive",5
"V451252","2025-05-09 14:45:51","test_drive",2
"V882284","2025-05-09 15:14:47","test_drive",5
"V670185","2025-05-09 15:28:26","parts",2
"V646761","2025-05-09 15:46:06","service",1
"V419257","2025-05-09 15:51:15","browse",7
"V971763","2025-05-09 16:02:02","parts",2
"V980627","2025-05-09 16:03:37","browse",1
"V310193","2025-05-09 16:30:55","browse",4
"V296628","2025-05-09 16:37:51","service",4
"V386778","2025-05-09 16:46:32","test_drive",3
"V770542","2025-05-09 17:04:17","parts",3
"V939181","2025-05-09 17:20:28","browse",6
"V421915","2025-05-09 17:33:29","browse",2
"V177681","2025-05-09 17:55:55","service",7
"V650539","2025-05-09 18:26:17","browse",3
"V155501","2025-05-09 18:33:05","browse",6
"V288228","2025-05-09 18:47:25","browse",4
"V403830","2025-05-10 00:27:34","browse",3
"V817831","2025-05-10 00:47:46","browse",1
"V271820","2025-05-10 01:22:46","test_drive",1
"V943555","2025-05-10 01:36:33","browse",6
"V143965","2025-05-10 03:05:47","service",2
"V482531","2025-05-10 03:09:20","browse",3
"V885948","2025-05-10 03:41:06","browse",4
"V163974","2025-05-10 04:53:12","browse",4
"V542966","2025-05-10 05:25:28","test_drive",5
"V733431","2025-05-10 10:04:13","test_drive",6
"V116912","2025-05-10 10:14:55","test_drive",3
"V277349","2025-05-10 10:51:39","browse",1
"V417051","2025-05-10 11:02:54","service",4
"V118955","2025-05-10 11:12:22","service",2
"V237137","2025-05-10 12:44:31","service",1
"V715952","2025-05-10 12:46:04","browse",6
"V296469","2025-05-10 12:58:52","browse",2
"V225990","2025-05-10 13:01:52","parts",2
"V187711","2025-05-10 13:12:39","test_drive",5
"V449901","2025-05-10 13:59:19","test_drive",1
"V208868","2025-05-10 14:01:27","browse",1
"V326298","2025-05-10 14:28:16","browse",5
"V818679","2025-05-10 14:44:06","test_drive",3
"V735339","2025-05-10 14:45:00","browse",4
"V227746","2025-05-10 14:45:55","test_drive",1
"V100600","2025-05-10 14:52:58","browse",4
"V370229","2025-05-10 14:53:17","browse",3
"V956325","2025-05-10 15:07:31","browse",5
"V321112","2025-05-10 15:20:18","test_drive",5
"V361061","2025-05-10 15:27:48","service",5
"V188759","2025-05-10 15:29:18","test_drive",8
"V513990","2025-05-10 15:52:19","service",2
"V940731","2025-05-10 15:54:58","browse",2
"V919753","2025-05-10 16:00:58","test_drive",4
"V991447","2025-05-10 16:06:31","test_drive",3
"V502623","2025-05-10 16:55:04","test_drive",4
"V986384","2025-05-10 17:09:15","service",6
"V911489","2025-05-10 17:20:16","browse",1
"V606077","2025-05-10 17:28:53","browse",4
"V432403","2025-05-10 18:09:32","browse",3
"V383766","2025-05-10 18:14:02","browse",1
"V105975","2025-05-10 18:21:48","test_drive",4
"V549762","2025-05-10 19:33:31","service",3
"V607703","2025-05-10 19:54:02","service",5
"V205124","2025-05-10 21:02:58","browse",1
"V907842","2025-05-10 21:38:14","service",2
"V174324","2025-05-10 22:04:04","browse",4
"V418891","2025-05-10 23:40:47","browse",5
"V591636","2025-05-11 02:33:25","browse",6
"V974162","2025-05-11 03:07:13","test_drive",1
"V314587","2025-05-11 04:18:27","test_drive",4
"V337999","2025-05-11 05:25:23","test_drive",3
"V779595","2025-05-11 09:09:01","service",5
"V192224","2025-05-11 11:51:35","test_drive",4
"V878375","2025-05-11 12:04:07","test_drive",7
"V318142","2025-05-11 12:23:18","browse",4
"V718438","2025-05-11 13:00:06","browse",1
"V662767","2025-05-11 13:19:12","browse",1
"V537532","2025-05-11 13:34:09","service",1
"V236319","2025-05-11 13:54:48","service",3
"V304282","2025-05-11 13:59:06","browse",5
"V460490","2025-05-11 14:18:22","browse",5
"V393205","2025-05-11 14:20:07","parts",5
"V743918","2025-05-11 14:37:50","browse",3
"V816301","2025-05-11 14:49:29","parts",5
"V808827","2025-05-11 14:56:04","test_drive",4
"V847398","2025-05-11 14:57:41","test_drive",1
"V540768","2025-05-11 15:05:43","test_drive",3
"V963340","2025-05-11 15:15:36","browse",2
"V584908","2025-05-11 15:22:49","test_drive",2
"V411173","2025-05-11 15:33:06","browse",1
"V841362","2025-05-11 15:39:45","browse",5
"V852156","2025-05-11 15:54:27","browse",3
"V825937","2025-05-11 16:01:40","parts",1
"V314646","2025-05-11 16:09:37","service",5
"V441371","2025-05-11 16:21:45","browse",1
"V289921","2025-05-11 16:22:27","browse",1
"V168381","2025-05-11 16:26:03","browse",3
"V820730","2025-05-11 17:37:54","browse",4
"V676138","2025-05-11 17:53:30","browse",6
"V455014","2025-05-11 17:59:23","service",4
"V905410","2025-05-11 18:09:50","browse",4
"V648283","2025-05-11 22:22:52","test_drive",2
"V428616","2025-05-12 01:31:28","browse",3
"V442445","2025-05-12 02:09:53","test_drive",2
"V729957","2025-05-12 02:13:58","test_drive",5
"V869258","2025-05-12 02:21:07","test_drive",6
"V854623","2025-05-12 02:57:57","test_drive",3
"V856378","2025-05-12 03:04:44","browse",3
"V747200","2025-05-12 03:50:13","browse",4
"V728613","2025-05-12 04:26:23","test_drive",2
"V895803","2025-05-12 05:52:58","browse",4
"V457776","2025-05-12 06:51:18","test_drive",3
"V820480","2025-05-12 08:02:06","parts",1
"V558346","2025-05-12 08:25:09","browse",4
"V417551","2025-05-12 08:46:04","test_drive",6
"V727887","2025-05-12 10:32:11","test_drive",2
"V565956","2025-05-12 10:47:04","browse",2
"V880560","2025-05-12 11:03:59","test_drive",4
"V689336","2025-05-12 11:30:02","test_drive",3
"V883762","2025-05-12 12:11:38","browse",3
"V509208","2025-05-12 12:16:54","test_drive",3
"V577067","2025-05-12 12:23:35","browse",3
"V811446","2025-05-12 12:31:08","test_drive",4
"V623468","2025-05-12 12:36:27","browse",4
"V233363","2025-05-12 12:49:15","browse",2
"V262912","2025-05-12 13:02:05","test_drive",4
"V271395","2025-05-12 13:08:03","browse",3
"V802045","2025-05-12 13:13:49","service",1
"V332818","2025-05-12 13:34:14","browse",2
"V233624","2025-05-12 13:36:37","browse",1
"V541867","2025-05-12 14:08:53","test_drive",3
"V956378","2025-05-12 14:24:03","test_drive",1
"V504258","2025-05-12 14:27:10","browse",3
"V796706","2025-05-12 14:51:02","service",2
"V466588","2025-05-12 15:06:56","service",3
"V184770","2025-05-12 15:08:17","service",1
"V471348","2025-05-12 15:14:14","browse",4
"V586923","2025-05-12 15:20:56","browse",5
"V504545","2025-05-12 15:24:08","browse",1
"V953265","2025-05-12 15:29:56","parts",4
"V435698","2025-05-12 15:54:45","browse",2
"V702896","2025-05-12 15:57:16","browse",3
"V361486","2025-05-12 15:59:40","parts",1
"V774587","2025-05-12 16:35:07","test_drive",2
"V255561","2025-05-12 17:16:32","browse",6
"V417838","2025-05-12 17:21:55","browse",5
"V956028","2025-05-12 17:58:28","browse",2
"V969022","2025-05-12 18:19:40","browse",6
"V594930","2025-05-12 18:53:51","test_drive",2
"V387686","2025-05-12 19:07:36","parts",2
"V267324","2025-05-12 19:36:54","browse",2
"V865401","2025-05-12 19:45:41","test_drive",2
"V768940","2025-05-12 21:20:29","browse",4
"V831307","2025-05-12 23:15:26","browse",5
"V265158","2025-05-12 23:27:19","service",2
"V585016","2025-05-13 01:21:54","browse",4
"V364399","2025-05-13 01:48:18","browse",2
"V710821","2025-05-13 03:08:43","browse",4
"V681797","2025-05-13 06:33:34","service",5
"V208375","2025-05-13 08:01:19","parts",3
"V442938","2025-05-13 09:20:13","browse",2
"V698014","2025-05-13 10:22:37","test_drive",8
"V641217","2025-05-13 11:05:24","parts",1
"V397200","2025-05-13 11:07:30","test_drive",4
"V604340","2025-05-13 11:48:52","service",4
"V560611","2025-05-13 12:11:18","browse",4
"V583142","2025-05-13 12:32:01","service",1
"V121864","2025-05-13 12:49:34","browse",2
"V150617","2025-05-13 13:02:02","parts",5
"V340943","2025-05-13 13:03:28","browse",3
"V148881","2025-05-13 13:19:03","browse",1
"V335046","2025-05-13 13:54:07","browse",3
"V303221","2025-05-13 14:02:56","service",4
"V511266","2025-05-13 14:29:50","browse",3
"V321367","2025-05-13 14:40:24","browse",4
"V703891","2025-05-13 14:49:47","parts",1
"V778653","2025-05-13 14:57:27","test_drive",3
"V310625","2025-05-13 15:24:45","browse",5
"V309465","2025-05-13 16:00:53","test_drive",6
"V625397","2025-05-13 16:15:42","service",3
"V664407","2025-05-13 16:30:51","browse",1
"V908819","2025-05-13 16:56:06","parts",4
"V903829","2025-05-13 17:46:35","browse",1
"V378347","2025-05-13 18:18:41","service",2
"V182725","2025-05-13 19:32:13","browse",2
"V861288","2025-05-14 00:28:23","browse",3
"V244202","2025-05-14 01:20:37","parts",2
"V760020","2025-05-14 02:26:18","browse",1
"V777066","2025-05-14 07:06:59","browse",3
"V706344","2025-05-14 07:44:33","service",4
"V945658","2025-05-14 10:50:31","parts",3
"V888228","2025-05-14 11:08:06","service",2
"V668610","2025-05-14 11:12:04","test_drive",5
"V575231","2025-05-14 11:43:28","browse",9
"V523474","2025-05-14 11:51:34","test_drive",4
"V544657","2025-05-14 11:56:11","service",5
"V903736","2025-05-14 11:56:44","parts",1
"V294503","2025-05-14 11:58:11","test_drive",7
"V577516","2025-05-14 12:07:26","browse",4
"V239441","2025-05-14 12:18:03","browse",1
"V242650","2025-05-14 12:28:06","browse",2
"V252053","2025-05-14 12:32:28","browse",1
"V917246","2025-05-14 12:36:05","parts",3
"V231197","2025-05-14 12:37:08","service",9
"V687826","2025-05-14 12:47:07","browse",5
"V857918","2025-05-14 12:51:41","service",3
"V936673","2025-05-14 12:52:35","test_drive",3
"V700189","2025-05-14 13:04:19","service",5
"V241023","2025-05-14 13:09:50","service",12
"V554026","2025-05-14 13:40:16","parts",2
"V790514","2025-05-14 13:48:16","test_drive",1
"V507510","2025-05-14 14:08:38","browse",1
"V329428","2025-05-14 14:12:31","test_drive",6
"V964004","2025-05-14 14:22:50","test_drive",1
"V780076","2025-05-14 14:26:26","browse",2
"V844194","2025-05-14 14:33:20","test_drive",4
"V154047","2025-05-14 14:33:37","test_drive",1
"V486603","2025-05-14 14:34:40","parts",3
"V538412","2025-05-14 14:34:45","browse",2
"V929450","2025-05-14 14:41:15","parts",6
"V932283","2025-05-14 14:53:55","browse",3
"V968691","2025-05-14 15:17:55","browse",5
"V511581","2025-05-14 15:37:36","test_drive",2
"V406781","2025-05-14 15:44:48","parts",3
"V941433","2025-05-14 15:54:16","browse",4
"V601830","2025-05-14 15:57:27","browse",2
"V252723","2025-05-14 16:18:13","browse",4
"V789793","2025-05-14 16:42:41","test_drive",2
"V342319","2025-05-14 17:02:05","test_drive",2
"V927644","2025-05-14 17:04:42","browse",2
"V111985","2025-05-14 17:56:17","test_drive",2
"V112844","2025-05-14 18:00:31","browse",5
"V703056","2025-05-14 18:13:28","test_drive",5
"V661158","2025-05-14 18:39:10","browse",1
"V925556","2025-05-14 21:51:33","test_drive",3
"V535494","2025-05-14 23:45:24","browse",4
"V318466","2025-05-15 02:58:24","browse",5
"V662242","2025-05-15 03:30:51","browse",3
"V457166","2025-05-15 04:46:30","browse",3
"V274161","2025-05-15 04:52:46","test_drive",3
"V647427","2025-05-15 06:48:41","test_drive",4
"V140136","2025-05-15 07:07:33","test_drive",3
"V222108","2025-05-15 07:51:49","parts",2
"V323272","2025-05-15 09:36:24","test_drive",2
"V481214","2025-05-15 10:10:02","test_drive",6
"V822455","2025-05-15 10:48:30","test_drive",3
"V142757","2025-05-15 10:51:33","test_drive",3
"V710807","2025-05-15 10:55:10","parts",4
"V643183","2025-05-15 10:55:27","parts",4
"V187652","2025-05-15 11:15:00","test_drive",1
"V944072","2025-05-15 12:02:41","browse",2
"V674123","2025-05-15 12:05:30","test_drive",5
"V442253","2025-05-15 12:06:53","service",1
"V495433","2025-05-15 12:22:06","test_drive",4
"V473345","2025-05-15 12:41:59","browse",5
"V741415","2025-05-15 12:56:31","browse",4
"V879624","2025-05-15 12:57:53","browse",6
"V736097","2025-05-15 13:41:10","test_drive",2
"V259639","2025-05-15 13:54:24","test_drive",2
"V208592","2025-05-15 14:13:34","service",4
"V368434","2025-05-15 14:17:18","browse",1
"V530093","2025-05-15 14:30:33","browse",4
"V937385","2025-05-15 14:34:06","browse",2
"V763142","2025-05-15 14:40:53","browse",2
"V725000","2025-05-15 14:42:29","test_drive",4
"V616171","2025-05-15 14:49:04","test_drive",4
"V949821","2025-05-15 14:51:54","service",4
"V258054","2025-05-15 14:54:57","browse",2
"V320529","2025-05-15 15:09:30","browse",6
"V489655","2025-05-15 15:24:54","browse",6
"V191981","2025-05-15 15:43:09","browse",7
"V688948","2025-05-15 15:46:18","test_drive",3
"V986452","2025-05-15 15:46:32","browse",1
"V421113","2025-05-15 15:57:44","browse",5
"V573270","2025-05-15 16:02:12","parts",5
"V241622","2025-05-15 16:09:31","service",3
"V971059","2025-05-15 16:15:59","test_drive",2
"V118892","2025-05-15 16:29:44","test_drive",2
"V828534","2025-05-15 16:30:33","test_drive",12
"V316721","2025-05-15 16:36:04","test_drive",7
"V405616","2025-05-15 17:30:57","test_drive",2
"V112793","2025-05-15 17:41:47","parts",5
"V556659","2025-05-15 17:51:58","test_drive",3
"V595100","2025-05-15 20:00:47","test_drive",5
"V286939","2025-05-15 20:51:32","service",3
"V193037","2025-05-16 00:53:16","service",2
"V715437","2025-05-16 01:18:06","service",1
"V644089","2025-05-16 05:35:18","test_drive",1
"V162220","2025-05-16 07:21:34","test_drive",6
"V757564","2025-05-16 09:14:42","parts",7
"V529726","2025-05-16 11:49:17","browse",3
"V900627","2025-05-16 12:04:50","test_drive",1
"V213133","2025-05-16 12:18:00","test_drive",1
"V904966","2025-05-16 12:45:36","service",3
"V418222","2025-05-16 12:51:01","test_drive",1
"V756795","2025-05-16 12:51:11","service",1
"V160054","2025-05-16 13:10:16","test_drive",2
"V409133","2025-05-16 13:13:59","browse",4
"V125168","2025-05-16 13:15:42","browse",2
"V146696","2025-05-16 13:25:12","test_drive",3
"V170604","2025-05-16 13:43:55","browse",3
"V505204","2025-05-16 13:58:04","test_drive",1
"V961172","2025-05-16 14:06:13","test_drive",3
"V908953","2025-05-16 14:09:25","test_drive",3
"V606010","2025-05-16 14:17:17","test_drive",5
"V220531","2025-05-16 14:32:05","parts",2
"V100721","2025-05-16 14:45:39","test_drive",2
"V962051","2025-05-16 14:51:28","browse",1
"V426425","2025-05-16 15:07:54","browse",3
"V699321","2025-05-16 15:11:52","test_drive",4
"V586377","2025-05-16 15:36:19","test_drive",6
"V867364","2025-05-16 15:43:23","browse",2
"V912728","2025-05-16 15:50:27","browse",2
"V377171","2025-05-16 15:50:51","browse",4
"V686359","2025-05-16 16:07:26","service",6
"V650542","2025-05-16 16:09:06","parts",7
"V278066","2025-05-16 16:22:02","parts",3
"V553740","2025-05-16 16:23:46","test_drive",1
"V378891","2025-05-16 16:32:43","test_drive",2
"V652921","2025-05-16 16:47:58","browse",4
"V218757","2025-05-16 17:09:37","test_drive",2
"V913931","2025-05-16 18:00:23","browse",3
"V875172","2025-05-16 18:49:41","browse",4
"V245163","2025-05-16 19:18:18","browse",2
"V245650","2025-05-16 20:06:04","parts",4
"V147433","2025-05-16 20:46:55","browse",4
"V454672","2025-05-16 22:04:40","browse",4
"V274546","2025-05-16 22:43:49","browse",3
"V125618","2025-05-16 23:15:09","browse",4
"V235434","2025-05-17 00:17:16","browse",2
"V608180","2025-05-17 01:25:56","test_drive",3
"V659014","2025-05-17 02:25:39","browse",2
"V308902","2025-05-17 03:22:22","service",3
"V908140","2025-05-17 04:25:01","parts",3
"V411568","2025-05-17 05:54:56","browse",2
"V969333","2025-05-17 06:29:17","browse",5
"V521788","2025-05-17 09:49:42","browse",2
"V597261","2025-05-17 10:18:02","browse",3
"V350809","2025-05-17 10:22:08","browse",4
"V562473","2025-05-17 10:34:00","service",2
"V494620","2025-05-17 10:41:39","browse",3
"V390074","2025-05-17 10:42:33","test_drive",4
"V673055","2025-05-17 10:47:47","browse",10
"V311728","2025-05-17 11:14:30","service",4
"V984369","2025-05-17 11:20:52","browse",1
"V520717","2025-05-17 12:08:30","test_drive",4
"V464085","2025-05-17 12:11:55","service",2
"V224162","2025-05-17 12:15:52","browse",5
"V201832","2025-05-17 12:24:31","browse",2
"V481455","2025-05-17 13:08:05","browse",4
"V725870","2025-05-17 13:13:55","test_drive",2
"V934724","2025-05-17 13:46:33","test_drive",4
"V868835","2025-05-17 13:53:58","service",3
"V905917","2025-05-17 13:59:46","test_drive",4
"V701500","2025-05-17 14:00:13","service",3
"V317103","2025-05-17 14:16:38","service",2
"V895294","2025-05-17 14:19:45","test_drive",5
"V245718","2025-05-17 14:27:35","test_drive",7
"V649858","2025-05-17 14:35:47","browse",5
"V565355","2025-05-17 14:44:37","browse",1
"V678593","2025-05-17 15:23:03","test_drive",5
"V805383","2025-05-17 15:42:35","browse",7
"V880972","2025-05-17 15:47:39","browse",4
"V623295","2025-05-17 16:07:53","browse",2
"V945018","2025-05-17 16:14:15","service",4
"V378703","2025-05-17 16:43:30","test_drive",4
"V109728","2025-05-17 16:56:04","test_drive",3
"V380578","2025-05-17 18:06:58","browse",1
"V491288","2025-05-17 18:36:39","browse",3
"V145623","2025-05-17 18:52:57","browse",4
"V805893","2025-05-17 19:55:15","browse",2
"V222394","2025-05-17 20:38:41","test_drive",6
"V672774","2025-05-18 01:58:22","browse",3
"V408875","2025-05-18 02:42:42","service",1
"V136984","2025-05-18 03:24:01","service",3
"V839872","2025-05-18 03:50:36","browse",1
"V636979","2025-05-18 04:51:04","service",3
"V236983","2025-05-18 09:02:15","test_drive",1
"V522358","2025-05-18 09:27:52","test_drive",4
"V195390","2025-05-18 10:41:44","browse",4
"V410191","2025-05-18 11:08:10","test_drive",4
"V453194","2025-05-18 11:17:00","test_drive",2
"V774240","2025-05-18 12:01:52","browse",4
