"inspection_id","district","span_m","deflection_mm"
"INS10855","south",138.1,13.73
"INS73394","south",208.4,24.21
"INS71946","south",110.8,11.28
"INS13595","north",56.7,6.28
"INS41400","south",85,10.01
"INS83223","south",138.3,14
"INS12658","west",167.2,16.12
"INS24987","south",95,10.07
"INS35451","south",53.2,5.69
"INS22699","south",175.6,17.94
"INS44080","north",33,5.65
"INS11546","south",192.7,15.87
"INS66647","east",81.1,10.76
"INS20050","east",25.9,3.88
"INS18449","west",172.2,14.79
"INS11302","west",138,16.71
"INS16857","east",196.4,15.87
"INS18299","north",98.4,8.57
"INS36223","north",170.2,16.57
"INS15299","south",110.9,11.18
"INS96470","south",94.7,10.22
"INS29203","south",165.9,14.13
"INS80670","east",114.1,10.27
"INS77144","south",110.8,11.56
"INS80527","south",138.9,13.85
"INS46466","north",55.1,6.31
"INS47287","west",67.2,7.44
"INS97500","east",180.1,19.49
"INS14484","north",136,13.62
"INS19951","south",138.8,13.63
"INS36230","north",169.8,16.73
"INS90016","north",35.2,4.41
"INS35054","south",46.7,5.04
"INS86730","west",184,19.15
"INS70797","south",139.3,15.37
"INS62417","east",107.9,11.35
"INS31237","east",120,10.92
"INS81482","west",163.2,15.86
"INS59652","south",207.9,21.07
"INS41897","east",153.8,15.46
"INS57375","west",120.9,11.69
"INS91673","south",138.5,13.77
"INS52560","west",215.6,20.16
"INS67555","east",48.4,5.57
"INS57652","north",202.8,17.29
"INS82527","north",80.9,7.52
"INS27650","east",192.4,19.09
"INS49637","south",201,16.37
"INS64798","north",147.4,14.87
"INS73753","east",169.4,14.86
"INS89950","west",216.2,20.68
"INS36003","west",173.8,17.36
"INS27260","south",116.7,9.78
"INS70485","south",20.4,3.83
"INS31992","south",111.4,11.46
"INS29189","east",65.8,6.68
"INS84237","south",112,10.79
"INS10788","north",178.5,16.39
"INS89345","south",110.9,11.64
"INS39669","east",65.5,7.74
"INS60338","north",170.2,16.54
"INS15815","north",169.8,16.05
"INS74680","south",24.7,3.66
"INS60721","south",194.3,21.65
"INS23193","north",78.6,8.94
"INS32434","south",138.5,13.77
"INS56184","west",101.2,11.11
"INS16528","east",108.7,10.36
"INS93364","west",33,4.47
"INS84925","south",94.4,10.02
"INS28784","west",167.4,17.79
"INS71930","west",147.6,15.03
"INS41518","west",167.8,16.51
"INS32533","east",183.1,18
"INS94548","south",44.2,5.82
"INS76794","south",138.4,13.65
"INS27700","east",43.6,6.83
"INS50690","north",80.6,8.92
"INS63025","south",157.6,16.19
"INS80789","west",95.4,9.36
"INS61042","west",166.9,15.89
"INS15909","south",138.8,13.71
"INS57002","west",202.8,22.02
"INS63479","north",216.7,22.14
"INS47594","west",85.7,11.27
"INS84655","north",170.6,20.7
"INS95713","north",184.9,16.27
"INS16601","south",138.9,13.55
"INS12143","south",111.5,11.25
"INS35888","west",167.3,16.37
"INS74558","west",102.6,12.38
"INS92329","south",125.8,12.3
"INS99938","east",91.7,8.43
"INS96084","east",208.8,21.11
"INS51261","east",153.3,15.37
"INS58737","north",170.1,15.98
"INS27901","south",174.7,17.3
"INS12364","west",33.3,5.17
"INS20157","north",140.1,15.16
"INS13302","east",180.1,15.26
"INS81341","south",95,10.08
"INS13875","south",94.8,10.02
"INS82235","south",123,12.31
"INS69968","south",95.3,9.97
"INS90341","north",169.9,16.13
"INS91742","west",104.8,9.13
"INS33096","south",139,13.75
"INS38063","west",167.5,16.53
"INS40091","south",194.2,18.63
"INS34936","north",212.8,23.96
"INS94070","north",125.2,12.36
"INS95652","south",36.6,5.58
"INS45961","west",66.6,8.59
"INS60828","north",101.1,9.62
"INS27661","south",132.1,15.45
"INS99744","east",93,11.05
"INS25421","north",44,4.98
"INS49296","south",199.4,20.74
"INS69009","south",95.5,9.79
"INS27248","north",113.6,9.66
"INS70420","west",167.5,16.17
"INS51536","east",67.6,7.7
"INS17110","west",167.3,15.93
"INS48587","south",126.6,12.99
"INS57195","south",199.7,17.5
"INS53650","north",180.8,14.09
