"course","modality","content_rating","instructor_rating"
"DSCI 210","online",86.5,75.9
"DSCI 320","in-person",58.1,56.1
"DSCI 320","in-person",20,37.1
"MATH 255","online",34.4,49.8
"STAT 301","in-person",45.9,45.9
"MATH 255","in-person",46.5,52.9
"DSCI 320","in-person",60.3,60.7
"STAT 301","in-person",72.1,72.1
"DSCI 320","in-person",81.7,69.2
"DSCI 210","in-person",61.9,57.8
"DSCI 210","online",33.2,48.4
"STAT 301","online",29.6,29.2
"STAT 301","in-person",42.5,46.3
"STAT 412","in-person",61.7,62.2
"STAT 301","online",57,49.6
"MATH 255","in-person",56.2,61.6
"STAT 301","online",58,57.8
"STAT 301","online",24.5,24.5
"STAT 412","in-person",36,36
"MATH 255","online",85.8,61.8
"STAT 412","online",70.8,70.8
"STAT 301","in-person",28.1,46.7
"DSCI 320","online",29.6,54.1
"STAT 412","online",28.3,34.5
"MATH 255","in-person",38.1,57.8
"DSCI 320","in-person",27.9,47.4
"DSCI 320","in-person",23.1,53.5
"DSCI 320","in-person",85.9,85.9
"STAT 301","online",87.7,60.6
"DSCI 320","online",90.1,66.2
"DSCI 320","in-person",75.3,57.5
"STAT 412","in-person",33,36.9
"STAT 412","in-person",65.1,66.4
"MATH 255","online",36.2,42.8
"STAT 412","online",77,77
"DSCI 320","in-person",32,36.3
"STAT 301","in-person",38.5,43.3
"MATH 255","in-person",46,45.6
"STAT 301","online",25.9,40
"MATH 255","in-person",71.7,78.4
"DSCI 210","in-person",67.7,59
"STAT 301","in-person",90.4,62.1
"MATH 255","in-person",67.1,60
"DSCI 320","in-person",61.1,61.7
"DSCI 210","in-person",93.6,73.6
"DSCI 210","online",90.8,71.9
"STAT 412","online",55.8,54.5
"DSCI 320","online",51.8,61.8
"DSCI 320","in-person",25.4,29.2
"STAT 301","in-person",61.7,62.5
"DSCI 210","in-person",34.1,34.1
"MATH 255","online",34.4,45.8
"STAT 301","online",50.9,55.5
"STAT 301","in-person",79.2,68.5
"DSCI 210","in-person",38,52.2
"DSCI 320","online",70.4,58.5
"STAT 301","in-person",75.9,58.6
"DSCI 320","in-person",84.9,51.5
"STAT 412","in-person",69.4,49.1
"DSCI 210","online",62.3,48
"STAT 301","online",33.1,33.1
"MATH 255","in-person",46,46.2
"STAT 412","online",78.1,50.8
"STAT 301","in-person",51.3,39.7
"STAT 412","in-person",90,90
"STAT 412","in-person",59.6,59.6
"STAT 412","online",88.4,70.3
"DSCI 210","in-person",64.2,58.9
"STAT 301","online",80.1,80.1
"DSCI 320","in-person",86.8,75.9
"STAT 412","online",49.1,49.1
"STAT 412","online",41.4,56.2
"STAT 412","online",68.5,68.5
"DSCI 210","in-person",29.5,35.2
"STAT 412","online",59.3,70.8
"DSCI 210","online",66.2,54.7
"DSCI 320","in-person",64.6,63.2
"MATH 255","in-person",34.7,36.3
"STAT 301","in-person",52.3,52.3
"STAT 301","in-person",47.9,58.7
"MATH 255","in-person",85.9,66.4
"DSCI 210","online",40.3,55.7
"DSCI 320","in-person",47.5,61.1
"MATH 255","in-person",65.7,62.2
"DSCI 320","online",25.5,30.6
"MATH 255","online",52,56.3
"DSCI 320","in-person",79.8,49.7
"MATH 255","online",70,63.2
"STAT 412","in-person",41,52.5
"MATH 255","in-person",77.4,64.6
"MATH 255","in-person",58.8,57.3
"DSCI 320","in-person",67.4,58.2
"DSCI 210","online",64.5,48.9
"MATH 255","in-person",57.7,58
"DSCI 320","in-person",89.1,71.1
"STAT 301","in-person",26.4,36.4
"STAT 412","online",54,64.4
"STAT 301","in-person",50,60.8
"DSCI 210","online",26.1,46.9
"DSCI 320","online",70.6,61.1
"MATH 255","in-person",79.2,69.1
"STAT 412","online",58.3,55.7
"STAT 412","in-person",57.6,63.9
"DSCI 210","online",79.1,79.1
"MATH 255","online",73.5,57.8
"STAT 301","in-person",44,44
"DSCI 320","in-person",70,66.1
"STAT 412","online",54.3,55.1
"DSCI 320","online",65.6,59.6
"DSCI 210","online",25.7,44.7
"STAT 301","in-person",64.1,59.3
"MATH 255","in-person",60.4,56.7
"STAT 412","online",43.1,43.1
"STAT 412","in-person",63.1,63.1
"DSCI 210","online",68.5,71.1
"DSCI 320","in-person",33.7,33.7
"DSCI 210","in-person",76.4,71
"STAT 301","online",55.7,44
"STAT 301","in-person",33.1,61.5
"DSCI 320","in-person",50.6,54.3
"DSCI 210","online",33.1,50.1
"STAT 412","in-person",25.6,36.5
"DSCI 320","online",66.8,57.6
"STAT 412","online",59.4,55.8
"DSCI 320","online",40.6,40.6
"DSCI 320","online",47.9,47.9
"STAT 412","online",82.2,60.5
"STAT 301","online",91.4,78.2
"STAT 412","in-person",49.1,54.1
"DSCI 210","in-person",22,55.5
"STAT 412","in-person",84.4,58.1
"MATH 255","online",77.8,63.4
"STAT 301","in-person",71.9,58.1
"DSCI 210","in-person",25.3,42.8
"DSCI 320","in-person",79.8,63.7
"DSCI 210","in-person",78,78
