"run_id","technician","concentration_ug","absorbance"
66,"KM",81.99,0.861
37,"KM",66.9,0.62
113,"DH",46.38,0.455
92,"KM",82.33,0.779
199,"KM",81.31,0.816
151,"KM",53.98,0.555
25,"DH",32.89,0.345
55,"DH",94.99,0.957
117,"KM",41.75,0.422
39,"RS",66.03,0.67
54,"DH",9.2,0.111
43,"KM",94.22,1
52,"RS",80.6,0.8
196,"KM",81.39,0.812
189,"KM",81.31,0.814
45,"RS",43.42,0.526
121,"KM",22.18,0.254
175,"DH",23.81,0.272
191,"KM",81.3,0.816
170,"DH",24.29,0.271
44,"DH",51.54,0.497
5,"DH",29.94,0.305
183,"KM",81.31,0.817
47,"DH",72.42,0.784
8,"KM",37.22,0.392
127,"RS",32.62,0.385
126,"DH",22.37,0.256
100,"RS",24.98,0.313
179,"DH",24.04,0.27
41,"DH",5.28,0.103
24,"RS",52.5,0.52
60,"KM",84.19,0.752
57,"RS",3.51,0.032
167,"DH",24.01,0.27
122,"KM",40.4,0.456
152,"KM",54.24,0.55
162,"DH",23.95,0.27
65,"DH",10.22,0.162
33,"DH",38.17,0.436
140,"DH",60.61,0.616
2,"RS",92.81,0.99
58,"DH",91.25,0.875
150,"KM",54.08,0.554
172,"DH",24,0.263
193,"KM",81.42,0.805
104,"KM",48.67,0.442
198,"KM",81.32,0.811
138,"RS",25.66,0.232
157,"KM",54.28,0.55
129,"KM",50.58,0.616
1,"RS",63.25,0.682
192,"KM",81.46,0.811
143,"KM",53.94,0.555
3,"RS",63,0.622
116,"KM",60.58,0.589
178,"DH",24.01,0.27
186,"KM",81.41,0.812
61,"KM",24.82,0.249
112,"RS",93.46,0.987
130,"DH",80.29,0.842
131,"DH",83.85,0.835
156,"KM",53.98,0.545
134,"DH",83.84,0.808
95,"KM",79.96,0.817
166,"DH",24.05,0.269
123,"DH",74.3,0.711
76,"RS",89.52,0.849
94,"KM",20.84,0.162
84,"DH",51.24,0.594
119,"DH",45.03,0.447
71,"KM",77.38,0.72
145,"KM",53.99,0.551
124,"DH",61.75,0.571
180,"DH",24.04,0.268
125,"KM",81.53,0.865
136,"RS",20.5,0.198
36,"KM",33.46,0.395
64,"KM",86.95,0.872
6,"DH",17.09,0.174
26,"DH",83.72,0.818
56,"DH",40.77,0.403
18,"KM",71.06,0.804
171,"DH",23.83,0.273
176,"DH",23.87,0.262
98,"KM",16.83,0.183
159,"KM",54,0.552
93,"DH",50.54,0.479
51,"DH",49.58,0.562
99,"KM",82.37,0.821
139,"RS",36.84,0.407
32,"DH",58.38,0.626
158,"KM",54.17,0.552
135,"DH",21.91,0.206
107,"KM",42.71,0.402
23,"KM",88.14,0.778
38,"RS",70.13,0.731
161,"DH",24.1,0.265
19,"KM",82.47,0.783
83,"KM",18.06,0.167
9,"DH",75.25,0.768
188,"KM",81.26,0.815
34,"DH",20.46,0.242
31,"RS",68.06,0.795
