"hour","weekday","battery_v","turbidity_ntu"
92.34,"Thu",12.48,20.24
93.7,"Thu",12.42,20.87
94.68,"Thu",12.15,21.46
97.34,"Fri",12.06,20.99
97.77,"Fri",12.47,20.37
99.33,"Fri",12.49,18.03
100.64,"Fri",12.12,21.42
104.04,"Fri",12.14,16.5
105,"Fri",12.4,18.99
107.06,"Fri",11.99,19.2
108.17,"Fri",12.19,15.17
109.12,"Fri",12.38,18.82
109.28,"Fri",12.26,21.57
110.78,"Fri",12.19,16.64
111.18,"Fri",12.17,18.82
112.51,"Fri",12.12,21.83
113.24,"Fri",12,18.64
114.95,"Fri",12.12,17.3
115.29,"Fri",12.12,18.47
115.33,"Fri",11.97,24.24
117.35,"Fri",12.03,17.78
118.39,"Fri",12.24,16.85
119.4,"Fri",12.16,20.19
119.41,"Fri",12.13,17.83
119.46,"Fri",12.11,17.9
120.11,"Sat",12.11,21.58
120.72,"Sat",12.3,17.48
120.9,"Sat",11.97,14.27
121.32,"Sat",11.84,18.84
121.47,"Sat",12.43,17.87
122.26,"Sat",12,18.27
122.42,"Sat",12.05,22.62
123.53,"Sat",12.04,18.13
125.59,"Sat",12.18,17.84
125.98,"Sat",11.96,18.75
126.27,"Sat",12.08,18.97
126.71,"Sat",11.97,15.97
127.65,"Sat",12.25,17.8
128.35,"Sat",12.24,19.34
129.71,"Sat",12.29,17.86
129.73,"Sat",12.04,14.93
131.15,"Sat",11.68,18.42
131.76,"Sat",12.27,18.28
132.73,"Sat",11.87,19.52
133.6,"Sat",12.2,19.93
133.67,"Sat",12.14,17.48
133.82,"Sat",12.29,18.05
133.86,"Sat",12.02,18.01
135.88,"Sat",11.95,17.83
137.79,"Sat",12.47,17.16
137.94,"Sat",12.01,17.83
139.59,"Sat",11.92,17.74
140,"Sat",11.74,18.04
145.41,"Sun",11.95,16.33
146.77,"Sun",11.95,11.39
149.45,"Sun",12.08,17.18
149.81,"Sun",12,18.79
150.2,"Sun",12.18,17.44
152.02,"Sun",12.15,17.38
152.2,"Sun",12.15,12.86
152.32,"Sun",11.72,18.9
152.55,"Sun",11.94,11.52
152.8,"Sun",12.17,12.1
152.87,"Sun",12.15,13.14
154.92,"Sun",11.86,15.61
156.88,"Sun",12.02,15.54
157.44,"Sun",11.82,14.28
160.18,"Sun",11.83,16.51
160.68,"Sun",11.81,17.31
162.74,"Sun",12.01,18.45
163.02,"Sun",11.79,13.79
163.09,"Sun",11.98,5.59
166.38,"Sun",11.92,11.64
168.98,"Mon",11.92,6.76
169.77,"Mon",12.06,17.79
170.16,"Mon",12.11,13.64
170.58,"Mon",11.95,17
171.42,"Mon",11.74,18.17
173.6,"Mon",11.94,15.76
174.24,"Mon",11.89,11.5
175.86,"Mon",11.92,16.26
178.2,"Mon",12.05,11.87
179.2,"Mon",11.85,14.26
180.36,"Mon",11.64,15.02
182.85,"Mon",11.81,13.45
183.96,"Mon",11.7,11.35
184.69,"Mon",11.58,12.28
185.1,"Mon",11.82,19.88
185.52,"Mon",11.84,15.81
187.12,"Mon",11.94,17.83
187.81,"Mon",11.9,22.4
188.2,"Mon",11.83,13.73
189.21,"Mon",11.74,16.67
190.06,"Mon",11.9,8.18
191.63,"Mon",11.83,14.06
195.65,"Tue",12,20.79
196.03,"Tue",11.54,10.75
196.33,"Tue",11.99,10.77
197.73,"Tue",12.02,13.66
198.19,"Tue",11.87,10.43
199.12,"Tue",11.58,17.21
199.35,"Tue",11.9,15.07
201.92,"Tue",11.72,12.38
202.39,"Tue",11.73,16.72
204.76,"Tue",11.83,10.35
207.03,"Tue",11.78,18.16
208.43,"Tue",12.06,13.54
212.14,"Tue",11.58,15.79
212.26,"Tue",11.9,13.46
212.63,"Tue",11.59,18.1
215.37,"Tue",11.6,13.38
215.69,"Tue",11.79,12.94
216.86,"Wed",11.9,22.51
217.52,"Wed",11.7,18.1
218.92,"Wed",11.82,16.15
219.57,"Wed",11.84,11.3
219.71,"Wed",11.74,14.83
220.31,"Wed",11.62,19.44
220.79,"Wed",11.42,16.39
221.23,"Wed",11.64,11.34
221.24,"Wed",12.04,16.73
222.73,"Wed",11.47,17.67
226.11,"Wed",11.58,13.99
226.25,"Wed",11.85,12.3
226.3,"Wed",11.81,20.22
226.85,"Wed",11.7,13.2
227.22,"Wed",11.59,18.15
230.34,"Wed",11.57,19.39
230.81,"Wed",11.85,19.1
231.12,"Wed",11.51,17.52
233.3,"Wed",11.55,13.89
233.41,"Wed",11.63,26.16
233.77,"Wed",11.44,18.8
234.61,"Wed",11.49,19.99
234.65,"Wed",11.86,15.25
234.73,"Wed",11.57,18.89
234.8,"Wed",11.81,22.24
238.46,"Wed",11.58,18.96
