"participant","employment","sleep_hours","stress_score"
"W144","student",7.2,43.6
"W070","student",6.1,45.7
"W188","part-time",8.9,28.2
"W018","full-time",7.7,38.1
"W077","part-time",7.5,38.4
"W046","student",5.2,57.6
"W205","full-time",6.5,46.2
"W109","full-time",4,67
"W098","part-time",9.6,18.7
"W113","part-time",7.8,38.5
"W196","retired",5,57.5
"W141","student",7.4,37.1
"W069","part-time",7.8,27
"W011","part-time",7.1,30.5
"W131","student",7.9,46.8
"W134","student",9.5,45.3
"W081","retired",7.7,34.3
"W184","student",6.4,47
"W185","full-time",8.1,34.2
"W106","full-time",8.6,31.3
"W155","student",6.6,34.5
"W043","student",8.5,26.5
"W119","part-time",9.5,14.9
"W001","full-time",4.8,53.6
"W206","full-time",6,50
"W190","student",6.5,46.2
"W047","part-time",7.4,30.7
"W021","student",8,35.8
"W146","full-time",7.4,48.7
"W071","student",9,28.5
"W123","full-time",7.2,38.6
"W114","part-time",4.3,71
"W200","part-time",6.6,45.5
"W101","full-time",4.6,75.4
"W074","part-time",9.9,37.5
"W145","student",4.8,56.3
"W010","full-time",9,16.9
"W080","retired",4.9,46.3
"W129","retired",9.4,14.1
"W051","retired",6,55.2
"W020","student",5.8,60
"W171","retired",4.9,58.2
"W045","part-time",7.3,53.1
