"meter_id","dwelling","outdoor_temp_c","heating_kwh"
"MTR6375","detached",6.2,29.01
"MTR7578","apartment",0.5,42.47
"MTR4598","townhouse",-3.5,49.97
"MTR5547","detached",-6.3,49.93
"MTR7412","apartment",0.4,44.41
"MTR8301","apartment",-2.1,33.94
"MTR3911","detached",1.5,35.83
"MTR5073","detached",-6.1,47.74
"MTR5060","detached",-4.3,41.17
"MTR2658","townhouse",8.9,28.4
"MTR2042","detached",-0.7,39.15
"MTR4073","townhouse",11.2,20.84
"MTR6615","townhouse",17.2,13.95
"MTR8199","apartment",12.6,27.48
"MTR6570","townhouse",3.1,42.79
"MTR7187","townhouse",-6.8,43.98
"MTR6177","apartment",2.7,34.08
"MTR4083","townhouse",16.3,16.34
"MTR5469","townhouse",9.6,17.19
"MTR9460","detached",-1.2,38.46
"MTR5518","townhouse",5.6,27.25
"MTR8463","apartment",9.9,19.35
"MTR2255","detached",-7.3,46.25
"MTR7716","detached",-0.5,38.73
"MTR7572","detached",0.2,45.92
"MTR6761","detached",-6,48.61
"MTR3584","townhouse",-7.6,48.45
"MTR8497","townhouse",9.1,21.75
"MTR8041","townhouse",13.1,23.03
"MTR7616","detached",-7.2,47.27
"MTR1635","apartment",-7.7,46.35
"MTR7001","detached",1.9,34.67
"MTR2364","townhouse",12.1,24.76
"MTR8004","townhouse",11,18.58
"MTR2805","detached",9.2,24.66
"MTR6518","apartment",16.2,9.33
"MTR3695","apartment",11.4,21.47
"MTR2176","townhouse",-5.5,43.7
"MTR6762","townhouse",4.2,37.02
"MTR5677","detached",-3.2,42.64
"MTR7592","detached",9.7,28.78
"MTR8196","detached",11.7,23.64
"MTR1310","detached",13,21.32
"MTR8156","apartment",-0.6,38.26
"MTR8414","detached",6.7,26.68
"MTR1914","apartment",5.4,31.08
"MTR6711","detached",3.6,37.51
"MTR3559","detached",12.5,19.88
"MTR6180","apartment",7.6,26.98
"MTR5604","apartment",-1.8,39.36
"MTR6740","apartment",14.6,21.7
"MTR2735","apartment",0.7,36.82
"MTR1389","detached",-1.7,36.86
"MTR7507","apartment",11,23
"MTR2652","detached",-2.7,36.53
"MTR7573","detached",-0.6,35.97
"MTR4511","detached",10.2,23.21
"MTR1364","detached",-3.3,39.26
"MTR7605","detached",-7.6,56.38
"MTR5165","townhouse",4.8,32.74
"MTR9754","apartment",14.8,16.54
"MTR2065","detached",11.1,24.08
"MTR9903","townhouse",8.4,25.19
"MTR7543","apartment",4,32.85
"MTR3970","detached",3.8,35.48
"MTR4887","apartment",4,33.94
"MTR4178","apartment",2.7,38.97
"MTR9953","detached",12.7,19.16
"MTR5923","townhouse",16.1,15.88
"MTR1772","townhouse",5.7,31.87
"MTR4403","townhouse",11.7,14.9
"MTR1653","townhouse",7,27.85
"MTR7798","townhouse",3.3,31.87
"MTR1813","detached",7.5,26.92
"MTR6141","detached",15.6,23.33
"MTR9414","apartment",-4.4,46.63
"MTR4190","townhouse",-4.6,43.37
"MTR2369","townhouse",-7.4,45.37
"MTR8870","apartment",2.4,29.31
"MTR5679","detached",14.8,16.63
"MTR9356","detached",-1.1,44.36
"MTR3916","detached",11.1,17.01
"MTR3807","detached",18,22.86
"MTR7027","townhouse",8.1,25.56
"MTR3536","apartment",14.5,16.14
"MTR3613","detached",15.9,15.46
"MTR1818","apartment",-2.7,39.14
"MTR3877","detached",-1.8,35.3
"MTR4199","townhouse",10.4,22.92
"MTR2772","townhouse",9.5,32.14
"MTR8166","townhouse",13.6,17.65
"MTR3589","apartment",12.3,21.21
"MTR5693","apartment",11.8,20.89
"MTR9668","detached",13,22.95
