"batch","inspector","pressure_psi","leak_rate_mlh"
"B6","TS",26,7.32
"B1","TS",67,21.56
"B3","TS",66.5,20.31
"B8","JM",26.8,18.57
"B7","JM",16,2.86
"B9","JM",82.9,27.7
"B6","TS",68.9,14.94
"B2","TS",25.3,14.28
"B6","JM",61.5,21.26
"B1","TS",72.9,25.73
"B3","TS",52.6,12.51
"B3","JM",59.1,18.55
"B4","TS",72,21.01
"B2","TS",70,21.89
"B9","JM",16.4,7.13
"B1","TS",36.4,18.26
"B8","TS",60.4,21.03
"B9","JM",39.6,14.31
"B9","JM",43.6,15.46
"B5","JM",78.6,27.94
