"region","plan_tier","applicant_age","monthly_premium"
"metro","silver",47,201.48
"rural","bronze",29,200.53
"rural","gold",58,220.15
"metro","bronze",23,121.28
"metro","gold",54,230.94
"metro","silver",52,192.12
"metro","gold",26,144.58
"suburban","bronze",54,261.06
"metro","gold",72,237.14
"suburban","silver",28,170.06
"metro","gold",62,270.08
"suburban","bronze",20,190.25
"rural","gold",74,327.29
"metro","gold",73,250.01
"suburban","silver",52,249.99
"suburban","bronze",36,180.3
"suburban","gold",68,228.72
"rural","bronze",26,178.81
"rural","silver",65,233.62
"rural","silver",71,280.44
"rural","silver",34,200.81
"suburban","bronze",55,247.14
"metro","silver",43,201.03
"metro","bronze",69,305.01
"rural","silver",64,237.44
"metro","gold",22,185.13
"metro","gold",20,146.67
"metro","gold",52,206.3
"metro","gold",71,330.66
"rural","bronze",56,250.77
"metro","silver",72,273.79
"metro","bronze",20,180.42
"rural","bronze",40,190.33
"metro","silver",74,268.56
"metro","gold",29,167.54
"rural","silver",70,269.94
"rural","gold",61,261.89
"suburban","bronze",36,166.46
"metro","bronze",67,268.34
"rural","bronze",33,142.48
"metro","silver",32,181.53
"suburban","silver",73,247.64
"suburban","gold",33,169.7
"suburban","silver",26,159.96
"rural","gold",62,211.77
"metro","gold",19,139.42
