"report_id","department","category","amount_usd"
"EXP80810","operations","meals",56.21
"EXP78618","sales","software",26.34
"EXP54511","engineering","meals",49.13
"EXP91872","engineering","software",40.91
"EXP90357","sales","meals",44.44
"EXP52965","sales","software",170.51
"EXP20566","operations","supplies",118.51
"EXP65289","sales","meals",22.66
"EXP63429","marketing","meals",51.59
"EXP46530","sales","travel",62.67
"EXP87366","engineering","travel",34.47
"EXP83791","sales","supplies",30.53
"EXP83632","engineering","meals",24.81
"EXP19779","engineering","meals",143.52
"EXP11373","engineering","travel",44.82
"EXP62709","operations","meals",72.22
"EXP98979","sales","meals",63.75
"EXP64590","engineering","meals",67.05
"EXP73215","sales","meals",113.57
"EXP82021","marketing","meals",71.57
"EXP38621","marketing","meals",27.31
"EXP48653","operations","meals",35.37
"EXP37434","sales","supplies",19.83
"EXP39087","engineering","software",91.07
"EXP10861","sales","meals",10.91
"EXP13836","operations","meals",20.53
"EXP17774","sales","meals",23.61
"EXP46407","marketing","supplies",29.6
"EXP86040","marketing","meals",53.07
"EXP25202","engineering","meals",52.99
"EXP27304","marketing","meals",62.25
"EXP61073","sales","travel",33.9
"EXP95322","engineering","meals",62.53
"EXP85311","sales","meals",67.87
"EXP51673","operations","travel",34.24
"EXP52971","marketing","travel",125.26
"EXP52868","engineering","travel",60.9
"EXP76211","sales","travel",25.13
"EXP70558","sales","travel",151.71
"EXP36568","operations","meals",84.32
"EXP83026","marketing","meals",45.22
"EXP94866","engineering","software",27.69
"EXP65818","operations","supplies",27.92
"EXP17268","marketing","supplies",22.63
"EXP83819","sales","meals",14
"EXP80775","engineering","supplies",20.04
"EXP69560","operations","travel",45.29
"EXP23197","sales","supplies",28.58
"EXP62164","engineering","meals",71.32
"EXP16925","marketing","travel",17.15
"EXP95715","operations","software",19.81
"EXP22953","operations","travel",29.99
"EXP23768","operations","travel",40.47
"EXP39570","engineering","supplies",81.4
"EXP73844","operations","supplies",46.62
"EXP68745","sales","meals",34.91
"EXP83421","marketing","meals",31.53
"EXP70148","marketing","supplies",36.31
"EXP95181","engineering","travel",102.02
"EXP19231","engineering","travel",36.65
"EXP44203","engineering","meals",81.62
"EXP70564","sales","meals",63.64
"EXP97750","sales","travel",72.71
"EXP47534","marketing","software",39.09
"EXP60221","marketing","supplies",157.14
"EXP73306","operations","meals",21.07
"EXP26632","sales","supplies",72.34
"EXP71835","sales","supplies",26.82
"EXP91881","operations","supplies",36.51
"EXP38991","engineering","meals",65.05
"EXP62809","engineering","travel",93.78
"EXP46750","sales","supplies",11.64
"EXP88338","sales","travel",32.65
"EXP39319","operations","meals",36.39
"EXP32027","sales","travel",170.88
"EXP49319","sales","software",56.4
"EXP17453","engineering","meals",61.99
"EXP68979","operations","software",32.18
"EXP94607","operations","meals",35.21
"EXP10711","marketing","supplies",42.86
"EXP43065","engineering","meals",36.23
"EXP37415","sales","meals",32.78
"EXP92927","marketing","meals",72.48
"EXP88502","marketing","meals",52.56
"EXP58794","sales","supplies",22.68
"EXP29940","operations","travel",62.72
"EXP44846","operations","travel",72.33
"EXP36550","operations","meals",54.48
"EXP26486","sales","supplies",33.03
"EXP87672","marketing","travel",65.25
"EXP10086","engineering","meals",57.05
"EXP62783","operations","supplies",35.18
"EXP43241","operations","supplies",43.5
"EXP61501","engineering","software",37.92
"EXP53220","engineering","travel",41.07
"EXP35240","marketing","supplies",27.34
"EXP94963","marketing","travel",23.68
"EXP10188","marketing","meals",56.1
"EXP83617","sales","supplies",115.25
"EXP73754","operations","travel",35.71
"EXP65166","operations","supplies",109.6
"EXP20593","operations","meals",33.25
"EXP95913","engineering","meals",32.56
"EXP24588","sales","supplies",62.8
"EXP88761","engineering","travel",119.63
"EXP50082","marketing","meals",35.94
"EXP43387","marketing","supplies",64.39
"EXP59586","operations","travel",35.19
"EXP86473","marketing","travel",33.87
"EXP22293","sales","meals",41.63
"EXP97371","marketing","travel",76.93
"EXP42437","sales","travel",77.72
"EXP41686","sales","supplies",23.4
"EXP31697","sales","supplies",21
"EXP45166","operations","supplies",82.56
"EXP45494","operations","meals",33.91
"EXP17473","sales","supplies",72.54
"EXP72281","operations","meals",37.39
"EXP57847","sales","software",73.33
"EXP35409","marketing","meals",74.69
"EXP68597","engineering","meals",30.93
"EXP54510","sales","software",71.64
"EXP65122","engineering","supplies",214.66
"EXP77209","operations","software",32.19
"EXP12089","engineering","meals",75.82
"EXP36575","engineering","meals",39.95
"EXP88918","operations","meals",21.94
"EXP12232","marketing","meals",47.47
"EXP67526","sales","supplies",59.69
"EXP35675","engineering","supplies",18.15
"EXP89413","operations","travel",26.1
"EXP82783","sales","meals",69.95
"EXP95275","operations","travel",28.26
"EXP39006","operations","meals",160.57
"EXP72925","engineering","meals",48.11
"EXP31000","operations","travel",14.45
"EXP75133","operations","meals",23.62
"EXP70088","operations","travel",98.82
"EXP13921","engineering","meals",152.04
"EXP67377","engineering","meals",18.93
"EXP57240","sales","meals",27
"EXP89733","engineering","travel",42.73
"EXP54503","sales","travel",97.22
"EXP52606","operations","travel",73.06
"EXP60240","marketing","travel",92.12
"EXP84256","engineering","supplies",33.16
"EXP57474","marketing","travel",45.57
"EXP63147","operations","supplies",33.97
"EXP80319","sales","meals",14.97
"EXP36603","marketing","meals",37.2
"EXP77544","engineering","travel",49.88
"EXP86468","operations","supplies",54.13
"EXP64025","sales","meals",70.79
"EXP23259","sales","meals",120.5
"EXP26950","operations","meals",53.67
"EXP80744","operations","travel",105.48
"EXP52177","sales","meals",43.42
"EXP60979","operations","meals",48.47
"EXP98690","marketing","meals",22.24
"EXP51448","engineering","travel",10.62
"EXP81365","operations","supplies",240
"EXP72764","sales","meals",57.99
"EXP63897","sales","travel",52.77
"EXP16375","engineering","travel",36.56
"EXP15956","engineering","meals",41.85
"EXP12407","operations","travel",62.23
"EXP99782","operations","supplies",108.89
"EXP44487","engineering","meals",32.36
"EXP55031","sales","meals",20.88
"EXP34312","marketing","travel",39.41
"EXP41964","engineering","travel",15.61
"EXP87140","operations","supplies",67.81
"EXP68462","sales","meals",73.25
"EXP13178","sales","meals",62.52
"EXP79215","operations","supplies",69.55
"EXP57008","sales","software",63.07
"EXP14119","engineering","travel",56.95
"EXP41486","marketing","meals",56.25
"EXP93496","marketing","meals",48.42
"EXP41052","operations","supplies",156.27
"EXP32509","engineering","meals",167.37
"EXP69746","marketing","software",31.28
"EXP23190","operations","supplies",25.59
"EXP83399","marketing","travel",51.74
"EXP94556","sales","meals",74.62
"EXP40893","engineering","travel",50.73
"EXP23550","engineering","software",35.43
"EXP84176","marketing","meals",37.84
"EXP96180","operations","travel",55.89
"EXP72284","engineering","travel",21.55
"EXP18134","engineering","supplies",73.79
"EXP23765","operations","supplies",155.76
"EXP41258","operations","travel",101.24
"EXP66235","operations","travel",73.72
"EXP58578","operations","supplies",37.07
"EXP91398","sales","travel",71.84
"EXP56253","operations","meals",65.49
"EXP20525","sales","travel",57.01
"EXP15459","marketing","supplies",68.78
"EXP67215","engineering","meals",35.67
"EXP66717","marketing","travel",70.27
"EXP94498","sales","travel",73.31
"EXP94858","sales","meals",29.08
"EXP91595","operations","travel",30.52
"EXP92963","engineering","meals",55.49
"EXP37991","operations","travel",28.36
"EXP38782","marketing","meals",63.21
