"bay","fan_on","temperature_c","humidity_pct"
"Bay 2","no",31.4,39.2
"Bay 4","yes",27.1,57
"Bay 1","yes",22.6,54.2
"Bay 5","no",26.2,55.8
"Bay 5","no",22.3,51.3
"Bay 2","yes",18.5,58.6
"Bay 6","yes",19.6,62.6
"Bay 3","no",18.6,68.5
"Bay 4","no",17.4,71.5
"Bay 3","no",34,34.3
"Bay 6","yes",33.1,49.5
"Bay 1","yes",24.8,61.4
"Bay 2","no",26.8,57.9
"Bay 4","yes",26.5,40.2
"Bay 6","no",26.6,54.2
"Bay 2","no",33.8,42
"Bay 2","no",33.3,34.2
"Bay 2","yes",16.5,60.9
"Bay 3","no",28.2,50.1
"Bay 6","no",28.3,44.4
"Bay 4","yes",20.5,56.1
"Bay 1","yes",24,44
"Bay 2","no",18.5,70.3
"Bay 4","no",27.8,54.3
"Bay 6","no",31,45.1
"Bay 3","yes",17.9,56.7
"Bay 3","yes",27.2,42
"Bay 1","no",26.6,54.6
"Bay 6","yes",24.8,54.6
"Bay 2","no",22.3,59.4
"Bay 3","no",20.3,71.6
"Bay 5","no",19.6,62.7
"Bay 6","no",27,39.2
"Bay 3","yes",19.6,62.6
"Bay 4","yes",21.2,59.2
"Bay 4","yes",28.8,46.8
"Bay 6","no",33.1,46.6
"Bay 1","yes",24.4,54.2
"Bay 4","yes",24.3,49.6
"Bay 4","yes",33.8,30.2
"Bay 2","no",16.2,71.3
"Bay 4","yes",18.9,71
"Bay 5","no",27,53.9
"Bay 6","yes",17.8,66.4
"Bay 6","no",19.5,66.4
"Bay 3","yes",26,54.2
"Bay 1","yes",33.1,38.5
"Bay 3","no",23.9,51
"Bay 3","yes",33.1,45
"Bay 1","no",21,67
"Bay 2","yes",17.6,67.7
"Bay 6","yes",34,44.8
"Bay 3","no",19.4,55.6
"Bay 1","yes",28.7,54.6
"Bay 4","no",17.8,67.6
"Bay 4","no",32.9,43.8
"Bay 5","no",31.7,38.4
"Bay 3","yes",23.5,54.2
"Bay 2","yes",19.5,54
"Bay 1","no",20.7,56.7
"Bay 4","yes",19.1,60.5
"Bay 4","yes",22.8,53.2
"Bay 3","no",32.7,34
"Bay 4","yes",27.1,51.4
"Bay 3","no",23.7,55.7
"Bay 5","no",20,55.1
"Bay 3","no",20.1,67.9
"Bay 1","yes",28.6,44.3
"Bay 4","no",26,50.5
"Bay 4","no",21,51.1
"Bay 5","no",27.7,54.2
"Bay 4","yes",30.3,43.1
"Bay 3","no",26.5,48.2
"Bay 1","no",22.9,54.2
"Bay 2","yes",21.5,52
"Bay 3","no",27.7,48.3
"Bay 3","yes",30.9,42.5
"Bay 5","yes",33.9,44.3
"Bay 1","no",31.9,43.9
"Bay 6","no",25.4,40.7
"Bay 3","no",28.2,50.7
"Bay 6","yes",31.3,40.6
"Bay 4","no",24.9,55.2
"Bay 5","no",33.5,37.3
"Bay 6","no",17.1,72.7
"Bay 4","yes",28.2,57.8
"Bay 6","no",17.9,58.1
"Bay 3","yes",32.5,46.8
"Bay 3","no",19.1,61.5
